Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,127,133,9,336,591
acsone,57,75,9,176,327
akretion,51,59,10,148,324
ForgeFlow,33,51,12,107,197
camptocamp,28,38,8,87,166
terrabit-ro,28,27,1,-,111
thienvh332,21,27,1,59,131
grap,19,23,1,25,86
ursais,19,28,5,20,144
dixmit,17,24,2,51,86
APSL,15,18,4,67,122
NextERP-Romania,14,13,3,-,61
SirAionTech,14,5,1,32,109
adhoc-dev,10,20,5,78,129
PyTech-SRL,9,16,3,55,72
kmee,9,14,3,40,86
moduon,9,10,3,53,66
hbrunn,8,13,1,35,62
microcom,8,41,1,38,79
toita86,8,5,1,28,54
Escodoo,7,12,3,59,78
jbaudoux,7,1,1,9,39
chaule97,6,10,1,26,39
factorlibre,6,17,6,34,81
trisdoan,6,16,1,39,47
BinhexTeam,5,11,3,27,48
Kimkhoi3010,5,18,1,37,33
StefanRijnhart,5,8,1,20,36
commown,5,7,1,6,19
simahawk,5,5,1,5,15
