Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,467,498,9,1.236,1.977
ForgeFlow,234,333,26,715,1.298
akretion,182,238,15,488,1.185
PyTech-SRL,110,130,3,401,687
acsone,99,120,15,350,717
camptocamp,95,162,17,583,734
moduon,84,106,4,521,649
Escodoo,66,67,5,213,437
NextERP-Romania,62,67,3,5,274
terrabit-ro,58,67,2,13,274
sygel-technology,51,64,3,209,365
coopiteasy,39,49,5,210,274
factorlibre,39,59,12,215,330
ursais,36,101,9,89,319
grap,34,68,2,127,179
dixmit,33,43,2,136,250
ecosoft-odoo,30,82,3,53,254
sunflowerit,29,35,2,74,168
vauxoo-dev,29,31,8,60,145
efatto,26,24,1,55,186
nguyenminhchien,26,33,1,66,184
c4a8-odoo,25,40,2,96,147
bosd,24,27,1,76,197
cetmix,24,40,8,245,242
eLBati,24,44,1,89,186
qrtl,24,42,3,142,177
Studio73,23,38,7,95,180
SirAionTech,22,58,1,82,221
Borruso,20,20,1,66,202
xcgd,20,36,3,61,123
