Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,709,759,9,1.915,3.047
ForgeFlow,391,496,27,1.134,2.095
akretion,232,324,17,699,1.594
acsone,153,168,19,545,1.113
moduon,146,172,4,771,1.034
PyTech-SRL,134,164,3,483,869
camptocamp,127,194,18,744,929
sygel-technology,106,122,5,404,698
terrabit-ro,104,110,2,22,459
Escodoo,86,91,5,300,608
NextERP-Romania,75,81,3,7,329
coopiteasy,62,74,5,290,385
ecosoft-odoo,60,107,4,96,432
grap,53,82,2,168,294
factorlibre,49,75,14,273,454
ursais,45,128,11,120,449
dixmit,43,52,2,165,322
APSL,42,71,4,265,378
c4a8-odoo,38,49,2,119,238
SirAionTech,37,69,1,129,360
Studio73,36,61,11,148,296
vauxoo-dev,36,43,9,106,215
nguyenminhchien,35,41,1,117,266
sunflowerit,35,47,3,91,218
qrtl,32,59,3,215,264
xcgd,30,50,4,82,205
adhoc-dev,29,65,9,126,362
vvrossem,29,143,1,73,150
eLBati,28,55,1,111,230
cetmix,27,44,8,282,285
