User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,43,42,563,530,602
rousseldenis,12,10,189,143,170
victoralmau,86,80,83,74,172
legalsylvain,35,28,142,99,145
francesco-ooops,-,-,221,82,97
etobella,21,23,112,100,138
thomaspaulb,19,19,172,53,89
simahawk,6,4,118,134,151
gurneyalex,18,6,133,73,95
chienandalu,21,18,33,155,183
aleuffre,21,20,56,121,153
rvalyi,23,18,113,65,98
LoisRForgeFlow,26,26,82,71,111
bosd,25,17,91,47,79
jbaudoux,12,8,53,108,127
sergiocorato,14,17,70,55,84
SirAionTech,27,9,57,58,80
AaronHForgeFlow,27,13,58,47,73
dreispt,17,8,86,25,46
lmignon,9,6,55,69,85
StefanRijnhart,12,7,63,54,72
renda-dev,39,34,18,43,87
yajo,19,17,48,48,76
eLBati,25,15,64,23,51
pilarvargas-tecnativa,21,23,32,53,86
marcelsavegnago,10,13,46,50,73
EmilioPascual,24,13,31,45,68
alexis-via,28,28,47,10,50
dhongu,22,21,61,5,39
carolinafernandez-tecnativa,34,25,23,22,58
rafaelbn,-,-,47,64,71
sebalix,17,7,28,51,67
HaraldPanten,-,-,64,36,44
PicchiSeba,27,23,16,32,64
sbidoul,7,7,58,24,41
mbcosta,20,17,34,22,49
santostelmo,13,6,12,59,72
Saran440,33,14,29,9,34
JordiMForgeFlow,16,8,13,43,59
AungKoKoLin1997,19,11,18,23,43
Shide,9,7,26,31,46
ivs-cetmix,2,2,31,39,48
hbrunn,4,3,30,31,41
grindtildeath,12,3,27,27,39
feketemihai,11,8,41,5,23
norlinhenrik,10,-,35,19,28
JordiBForgeFlow,13,7,29,15,31
antoniospneto,5,4,21,34,45
mt-software-de,10,8,19,28,44
robinkeunen,5,2,21,35,44
renatonlima,4,3,20,36,45
ivantodorovich,3,2,13,44,51
CarlosRoca13,6,9,21,24,40
cvinh,12,6,12,27,40
flotho,6,1,21,27,35
stananatanaela,29,26,3,-,33
Borruso,9,16,11,20,42
MiquelRForgeFlow,11,5,8,30,41
carlosdauden,7,5,8,38,48
john-herholz-dt,13,4,15,25,36
primes2h,9,4,31,14,27
QuocDuong1306,20,11,12,6,25
manuelregidor,14,11,18,13,32
sergio-teruel,14,12,12,16,35
victor-champonnois,7,3,23,21,31
remytms,5,3,19,27,37
nguyenminhchien,14,15,13,9,31
andreampiovesana,1,-,21,26,32
celm1990,6,7,22,15,29
