Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,115,136,9,234,433
ForgeFlow,63,83,18,196,321
akretion,34,57,7,131,231
acsone,33,21,10,85,203
moduon,28,29,4,161,201
Escodoo,21,26,2,79,133
NextERP-Romania,17,18,3,-,63
camptocamp,17,28,7,118,147
vauxoo-dev,17,15,3,1,77
APSL,16,35,2,58,108
sygel-technology,15,21,3,50,125
factorlibre,14,22,6,81,114
terrabit-ro,14,16,1,3,62
PyTech-SRL,13,16,3,48,74
coopiteasy,13,8,4,47,62
c4a8-odoo,12,15,2,45,68
xcgd,11,7,3,32,61
dixmit,10,13,2,42,66
initOS,7,7,2,10,37
nguyenminhchien,7,8,1,12,53
ursais,7,31,3,19,64
ecosoft-odoo,6,16,1,9,56
grap,6,7,2,20,32
qrtl,6,12,2,46,40
SirAionTech,5,13,1,17,40
hbrunn,5,14,1,17,56
jbaudoux,5,7,1,40,31
DynAppsNV,4,9,3,23,39
commitsun,4,1,2,4,3
mt-software-de,4,7,1,16,38
