Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,113,117,7,382,501
ForgeFlow,66,93,15,173,372
akretion,48,41,9,108,303
PyTech-SRL,32,32,3,124,178
camptocamp,25,48,10,181,195
NextERP-Romania,24,26,2,1,111
acsone,24,36,12,81,200
sunflowerit,20,21,2,35,87
sygel-technology,18,21,3,88,115
efatto,14,6,1,23,84
moduon,14,21,4,101,117
eLBati,12,14,1,34,73
Escodoo,10,11,3,29,72
cetmix,10,12,5,85,98
grap,10,18,2,31,44
Borruso,9,2,1,11,57
bosd,9,8,1,38,67
coopiteasy,9,16,5,96,83
factorlibre,9,13,5,47,68
lefilament,9,8,2,20,16
qrtl,8,10,1,27,51
ecosoft-odoo,7,18,2,11,68
SirAionTech,6,12,1,23,77
Studio73,6,11,5,26,54
commitsun,6,7,2,1,-
dixmit,6,3,1,37,42
StefanRijnhart,5,6,1,11,27
invitu,5,6,1,7,24
legalsylvain,5,-,1,3,29
nguyenminhchien,5,5,1,4,32
