Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,91,73,8,323,442
ForgeFlow,46,43,14,105,234
akretion,42,53,5,181,280
acsone,17,41,9,118,167
sygel-technology,13,13,3,55,85
Escodoo,11,16,2,53,117
camptocamp,11,14,6,51,73
moduon,11,20,4,52,48
FernandoRomera,9,11,1,43,52
vauxoo-dev,9,9,3,32,36
APSL,8,16,3,75,75
qrtl,8,4,1,33,63
terrabit-ro,8,7,2,-,35
SirAionTech,7,13,1,30,69
tranthanhtrai,7,2,1,13,42
adhoc-dev,6,4,4,21,56
jdidderen-nsi,6,1,1,8,28
kmee,6,14,2,45,69
ursais,6,21,3,18,52
Engenere,5,4,1,18,42
NextERP-Romania,5,15,2,-,25
PyTech-SRL,5,11,3,53,84
cetmix,5,6,4,19,55
ecosoft-odoo,5,10,4,9,38
factorlibre,5,9,4,21,39
amh-mw,4,4,1,4,12
c4a8-odoo,4,5,2,9,37
codeforward-bv,4,2,2,14,35
dixmit,4,9,1,21,39
solvosci,4,-,3,16,25
