Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,599,641,9,1.603,2.569
ForgeFlow,324,422,27,966,1.699
akretion,208,281,17,576,1.405
acsone,133,143,19,456,945
PyTech-SRL,126,151,3,442,791
camptocamp,115,178,18,672,849
moduon,115,146,4,651,825
sygel-technology,88,98,4,331,595
Escodoo,79,86,5,278,550
terrabit-ro,75,81,2,13,342
NextERP-Romania,70,76,3,5,310
coopiteasy,52,58,5,234,331
ecosoft-odoo,52,96,4,79,354
factorlibre,47,72,14,268,428
ursais,44,117,10,108,394
grap,41,71,2,142,209
dixmit,39,46,2,154,290
c4a8-odoo,36,44,2,113,228
nguyenminhchien,34,37,1,92,259
sunflowerit,32,36,2,79,186
vauxoo-dev,31,38,9,75,166
Studio73,30,50,8,128,249
APSL,29,60,4,212,277
SirAionTech,28,60,1,91,253
eLBati,27,50,1,104,217
efatto,27,27,1,60,200
qrtl,27,48,3,173,210
bosd,26,27,1,79,207
cetmix,26,42,8,276,266
xcgd,25,44,4,78,176
