Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,155,165,8,426,695
ForgeFlow,63,84,18,210,324
camptocamp,31,44,9,149,197
acsone,26,52,6,90,157
APSL,21,25,5,116,157
akretion,18,56,7,64,146
ursais,17,14,2,60,140
ecosoft-odoo,15,22,4,30,98
terrabit-ro,15,16,1,-,60
grap,14,13,2,29,91
moduon,11,16,3,45,63
PyTech-SRL,10,18,4,53,80
Kimkhoi3010,9,13,1,57,57
SirAionTech,9,8,1,9,69
hbrunn,7,6,1,14,19
adhoc-dev,6,30,6,63,73
dixmit,6,4,2,24,42
thienvh332,6,5,1,18,40
xaviedoanhduy,6,16,1,33,44
Escodoo,5,10,2,36,71
grindtildeath,5,3,1,13,26
qrtl,5,10,2,45,49
sygel-technology,5,8,2,26,42
toita86,5,6,1,43,42
BinhexTeam,4,20,3,26,63
BizzAppDev-Systems,4,4,1,40,33
DynAppsNV,4,11,2,25,52
c4a8-odoo,4,7,1,34,34
kmee,4,9,2,34,54
kobros-tech,4,4,1,3,31
