Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,132,143,8,367,592
ForgeFlow,90,89,19,251,401
sygel-technology,37,34,4,122,230
acsone,34,23,14,106,228
moduon,31,40,4,130,176
akretion,26,43,9,88,220
ecosoft-odoo,22,14,3,26,100
camptocamp,20,16,10,89,115
terrabit-ro,17,14,2,-,68
PyTech-SRL,16,21,2,41,104
Escodoo,13,19,3,65,113
coopiteasy,13,9,4,24,57
APSL,11,22,3,123,132
c4a8-odoo,11,4,2,17,81
adhoc-dev,9,12,6,29,108
NextERP-Romania,8,9,3,-,36
factorlibre,8,13,6,53,98
nguyenminhchien,8,4,1,26,75
ursais,8,16,4,19,75
Studio73,7,12,5,33,69
grap,7,3,2,15,30
hbrunn,7,4,1,28,43
SirAionTech,6,2,1,9,32
dixmit,6,3,2,18,40
kmee,6,10,2,31,43
solvosci,6,7,2,18,42
BinhexTeam,5,9,3,18,25
Engenere,5,8,2,24,48
QuocDuong1306,5,8,1,23,37
komit-consulting,5,2,3,8,24
