Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.358,1.432,11,3.802,5.928
ForgeFlow,658,824,28,1.926,3.467
akretion,447,629,21,1.423,3.037
acsone,299,419,21,1.103,2.078
camptocamp,266,392,25,1.352,1.767
moduon,200,242,4,1.017,1.359
PyTech-SRL,184,251,4,779,1.300
terrabit-ro,172,179,2,22,736
sygel-technology,158,179,5,690,1.099
Escodoo,137,168,5,564,1.070
NextERP-Romania,120,130,4,8,509
APSL,110,159,8,646,941
ursais,101,219,12,303,989
ecosoft-odoo,100,173,7,189,721
grap,99,143,2,296,585
dixmit,94,124,2,314,612
factorlibre,87,142,20,442,749
SirAionTech,84,117,1,276,750
coopiteasy,70,103,5,329,503
adhoc-dev,63,146,13,386,790
kmee,60,106,5,323,634
vauxoo-dev,60,69,16,190,339
Engenere,58,72,2,196,504
c4a8-odoo,56,71,2,184,370
qrtl,53,90,3,385,456
Studio73,50,100,15,228,487
vvrossem,49,152,1,133,300
hbrunn,46,63,1,203,323
nguyenminhchien,43,50,1,166,339
QuocDuong1306,42,62,1,188,300
