Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.076,1.134,11,3.040,4.642
ForgeFlow,562,689,28,1.609,2.946
akretion,378,514,19,1.211,2.567
acsone,216,292,20,837,1.594
camptocamp,207,310,25,1.116,1.404
moduon,180,216,4,919,1.230
PyTech-SRL,165,217,4,671,1.148
sygel-technology,151,166,5,648,1.021
terrabit-ro,129,136,2,22,565
Escodoo,125,146,5,469,921
NextERP-Romania,105,116,3,7,442
ecosoft-odoo,85,148,7,158,616
factorlibre,79,115,17,377,632
APSL,74,116,8,463,662
dixmit,71,96,2,239,484
coopiteasy,68,93,5,312,466
grap,66,107,2,242,408
ursais,65,177,12,223,705
SirAionTech,61,104,1,235,572
Engenere,56,70,2,189,472
vauxoo-dev,53,60,14,169,297
c4a8-odoo,48,60,2,141,313
vvrossem,48,150,1,119,246
adhoc-dev,47,96,11,245,588
kmee,47,83,5,249,494
qrtl,45,70,3,297,374
Studio73,44,94,14,201,399
nguyenminhchien,40,42,1,134,308
sunflowerit,40,58,3,104,260
QuocDuong1306,39,62,1,184,285
