User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,9,9,291,276,305
rvalyi,28,29,107,47,92
rousseldenis,3,1,55,55,65
marcelsavegnago,9,8,45,50,68
StefanRijnhart,5,3,53,39,52
antoniospneto,5,5,29,59,72
victoralmau,23,27,18,28,64
SirAionTech,13,7,42,26,43
sbidoul,10,5,39,30,44
LoisRForgeFlow,8,8,34,30,47
chienandalu,9,10,20,39,56
carlos-lopez-tecnativa,9,13,20,31,51
dreispt,8,3,42,14,26
AaronHForgeFlow,8,10,28,25,43
CarlosRoca13,11,14,24,22,44
jbaudoux,1,-,25,45,51
carolinafernandez-tecnativa,6,8,15,34,48
francesco-ooops,-,-,46,17,24
etobella,7,4,26,22,34
peluko00,9,5,29,15,28
FernandoRomera,11,9,19,12,29
mbcosta,10,9,17,14,30
legalsylvain,2,3,26,18,28
AungKoKoLin1997,4,8,20,12,26
bealdav,3,2,16,23,31
rafaelbn,-,-,35,8,14
sergiocorato,7,1,15,12,20
HviorForgeFlow,-,-,26,14,19
mileo,2,-,15,22,27
sanderlienaerts,2,3,19,16,25
juanjosesegui-tecnativa,3,7,14,14,26
simahawk,3,2,16,17,25
CasVissers-360ERP,-,-,12,22,25
EmilioPascual,13,5,6,6,17
kaynnan,4,3,17,10,19
sebalix,4,1,5,23,28
Saran440,8,2,12,8,16
renatonlima,-,-,12,21,24
ivs-cetmix,2,2,22,6,14
sbejaoui,6,4,9,11,20
yankinmax,3,2,12,14,21
RogerSans,9,8,8,4,18
HaraldPanten,-,-,18,11,15
aleuffre,3,2,7,13,19
alexis-via,3,-,14,8,13
astirpe,4,3,5,13,20
BernatObrador,4,2,3,14,20
gbrito,-,1,-,22,23
odooNextev,1,2,14,4,11
PicchiSeba,8,2,4,6,13
dhongu,6,6,9,-,11
kobros-tech,5,-,13,-,6
thomaspaulb,-,1,15,1,6
CRogos,3,2,13,2,9
MaurizioPellegrinet,-,-,9,11,14
amh-mw,4,4,1,10,17
benwillig,4,1,8,4,10
moylop260,4,4,11,1,10
traitrantrobz,2,7,2,9,19
xmglord,-,-,3,17,19
yajo,4,2,2,12,17
DiegoParadeda,6,4,5,3,12
flotho,1,-,9,8,12
manuelregidor,3,2,6,8,14
mt-software-de,3,3,3,8,14
imlopes,4,1,3,7,12
ivantodorovich,2,2,4,9,14
luisg123v,-,-,3,15,17
matteoopenf,2,1,7,4,9
stananatanaela,14,4,-,-,8
JordiMForgeFlow,3,5,5,2,11
QuocDuong1306,4,2,5,4,10
xaviedoanhduy,5,2,7,3,10
AnizR,7,1,2,5,10
MiquelRForgeFlow,2,1,2,11,15
WesleyOliveira98,3,-,6,7,11
bizzappdev,4,1,1,1,5
eLBati,1,2,10,2,8
kevinkhao,4,1,4,6,11
max3903,-,1,10,3,7
sergio-teruel,4,4,3,5,13
IJOL,2,-,13,-,5
JordiBForgeFlow,1,-,9,3,7
corredato,6,2,3,3,9
cuongnmtm,1,1,10,3,8
florian-dacosta,1,1,2,10,13
tafaRU,1,1,4,9,13
yostashiro,-,-,5,9,11
yvaucher,-,-,9,6,9
Shide,-,1,1,12,14
SodexisTeam,11,-,3,-,5
Tisho99,1,3,2,8,13
mpascuall,1,-,2,11,13
remi-filament,2,1,6,4,9
