Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,157,188,10,422,601
ForgeFlow,95,103,16,252,439
akretion,53,69,7,177,331
camptocamp,27,43,10,139,174
acsone,26,50,10,118,165
sygel-technology,23,25,3,149,174
PyTech-SRL,21,37,4,94,137
Engenere,20,21,2,60,124
Escodoo,16,24,3,75,119
ecosoft-odoo,16,25,5,40,108
factorlibre,16,25,7,57,79
moduon,16,17,4,76,114
terrabit-ro,14,15,2,-,61
APSL,13,14,4,56,85
vvrossem,13,4,1,30,60
QuocDuong1306,12,15,1,38,86
dixmit,11,25,2,32,35
kmee,11,17,2,53,129
SirAionTech,9,6,1,29,83
adhoc-dev,7,21,6,51,98
solvosci,7,2,2,25,45
yankinmax,7,3,1,47,68
BizzAppDev-Systems,6,1,1,17,40
grap,6,14,2,34,52
Borruso,5,5,1,21,38
toita86,5,5,1,15,41
NextERP-Romania,4,5,2,-,10
Studio73,4,15,4,29,34
TheMule71,4,-,1,13,29
cetmix,4,6,2,54,45
