Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.455,1.546,11,4.112,6.392
ForgeFlow,708,884,30,2.090,3.756
akretion,487,696,21,1.508,3.244
acsone,320,456,21,1.244,2.244
camptocamp,292,421,25,1.444,1.909
moduon,215,254,4,1.078,1.434
PyTech-SRL,191,262,4,832,1.363
terrabit-ro,187,196,2,26,803
sygel-technology,164,189,6,725,1.151
Escodoo,145,179,5,600,1.143
NextERP-Romania,134,145,4,10,556
APSL,125,189,8,748,1.086
dixmit,110,140,2,343,675
grap,107,148,2,311,634
ursais,104,233,12,313,1.044
ecosoft-odoo,102,179,7,204,777
factorlibre,93,152,21,459,792
SirAionTech,86,128,1,285,799
vauxoo-dev,74,83,16,192,339
coopiteasy,72,106,5,338,522
adhoc-dev,70,181,14,470,900
kmee,65,117,5,355,706
Engenere,64,82,2,222,556
c4a8-odoo,57,71,2,196,382
qrtl,56,94,3,391,487
Studio73,54,105,15,258,545
hbrunn,53,78,1,225,385
vvrossem,53,152,1,135,320
nguyenminhchien,48,50,1,173,358
eLBati,43,75,1,167,396
