Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,957,1.020,11,2.660,4.090
ForgeFlow,532,642,28,1.491,2.768
akretion,327,446,19,1.057,2.205
acsone,196,259,20,781,1.445
moduon,173,209,4,899,1.196
camptocamp,165,251,21,934,1.176
PyTech-SRL,160,212,4,630,1.090
sygel-technology,142,160,5,608,957
terrabit-ro,126,132,2,22,555
Escodoo,113,131,5,428,844
NextERP-Romania,84,101,3,7,364
ecosoft-odoo,81,142,7,145,578
factorlibre,70,109,16,351,572
coopiteasy,66,87,5,299,430
APSL,63,101,7,396,538
grap,61,98,2,217,388
dixmit,58,86,2,218,396
SirAionTech,53,88,1,188,512
ursais,53,159,11,188,585
vauxoo-dev,47,54,11,140,261
Engenere,45,52,2,163,372
vvrossem,45,148,1,113,234
c4a8-odoo,44,54,2,132,292
qrtl,44,68,3,271,358
adhoc-dev,42,90,11,198,516
Studio73,41,80,13,184,348
kmee,39,70,5,217,424
QuocDuong1306,38,61,1,182,275
nguyenminhchien,38,41,1,131,293
sunflowerit,37,51,3,97,238
