Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.203,1.267,11,3.376,5.233
ForgeFlow,595,740,28,1.716,3.143
akretion,429,573,20,1.359,2.891
acsone,273,367,21,1.013,1.921
camptocamp,235,348,25,1.203,1.570
moduon,189,226,4,972,1.296
PyTech-SRL,174,233,4,726,1.220
terrabit-ro,157,163,2,22,676
sygel-technology,153,171,5,664,1.057
Escodoo,132,158,5,528,999
NextERP-Romania,119,129,4,7,503
APSL,89,134,8,530,784
dixmit,88,120,2,290,570
ecosoft-odoo,85,151,7,159,623
factorlibre,85,132,19,411,713
grap,85,130,2,267,494
ursais,84,205,12,243,849
SirAionTech,75,109,1,267,681
coopiteasy,69,102,5,327,489
Engenere,58,72,2,196,500
adhoc-dev,57,116,11,323,717
kmee,56,97,5,289,580
vauxoo-dev,56,65,16,183,316
c4a8-odoo,52,64,2,150,336
vvrossem,49,152,1,127,284
qrtl,48,80,3,340,407
Studio73,47,97,14,214,450
nguyenminhchien,42,49,1,158,332
sunflowerit,40,59,3,106,265
QuocDuong1306,39,62,1,185,286
