Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.114";"1.165";14;"2.905";"4.754"
ForgeFlow;503;623;23;"1.381";"2.632"
akretion;287;414;17;895;"2.131"
camptocamp;259;335;15;"1.223";"1.647"
acsone;238;388;19;"1.190";"1.751"
tegin;131;139;4;266;599
"ecosoft-odoo";114;233;4;327;778
"NextERP-Romania";108;117;3;9;419
moduon;103;120;5;399;745
factorlibre;93;135;17;402;872
legalsylvain;90;102;1;274;604
coopiteasy;80;124;6;464;627
Studio73;75;112;13;285;646
Engenere;69;88;2;234;551
Escodoo;67;106;3;196;440
"landoo-es";58;66;1;108;340
"vauxoo-dev";53;59;16;194;367
cetmix;51;94;9;412;474
SirTakobi;43;78;1;183;362
qrtl;42;97;4;241;348
ilyasProgrammer;40;56;1;182;347
"terrabit-ro";40;54;2;9;184
"ndd-odoo";38;19;1;93;95
"PyTech-SRL";36;74;2;110;279
kmee;36;72;11;235;423
"mt-software-de";33;53;1;254;377
"sygel-technology";33;38;3;107;261
ursais;29;142;9;151;488
StefanRijnhart;25;20;1;64;129
yankinmax;25;27;1;72;168
