Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;189;203;9;441;807
ForgeFlow;74;82;13;197;397
acsone;40;61;13;250;310
akretion;23;43;7;107;154
"NextERP-Romania";22;23;3;5;76
camptocamp;22;47;9;181;158
tegin;16;19;3;39;112
legalsylvain;14;10;1;41;86
Escodoo;11;11;1;24;59
moduon;11;19;2;45;131
ramiadavid;11;9;1;30;65
StefanRijnhart;10;9;1;28;57
factorlibre;10;20;6;22;95
Studio73;9;29;6;47;109
"PyTech-SRL";8;16;2;19;50
coopiteasy;8;9;4;31;71
"ndd-odoo";8;"-";1;6;22
Engenere;6;6;2;17;29
"adhoc-dev";6;8;2;12;45
Therp;5;12;1;15;55
"ecosoft-odoo";5;33;2;34;77
qrtl;5;19;1;41;40
bvanjeelharia;4;6;1;29;30
cetmix;4;8;3;46;46
hbrunn;4;10;1;32;45
"landoo-es";4;7;1;8;31
nuobit;4;4;2;6;30
"terrabit-ro";4;7;1;4;19
"Digital5-Odoo";3;4;1;6;22
TheMule71;3;3;1;9;12
