Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,130,138,11,359,587
ForgeFlow,70,74,14,151,393
camptocamp,44,54,7,148,259
akretion,31,48,8,112,250
ecosoft-odoo,21,20,4,48,115
acsone,20,42,9,90,161
legalsylvain,20,26,1,72,118
NextERP-Romania,17,21,3,2,73
Engenere,14,17,2,58,113
factorlibre,9,9,5,57,86
moduon,9,9,3,31,55
SirTakobi,8,5,1,20,67
Studio73,8,12,6,28,77
cetmix,7,10,5,69,77
vauxoo-dev,7,6,5,29,77
c4a8-odoo,5,1,1,12,33
florentx,5,7,1,24,22
ilyasProgrammer,5,8,1,49,62
landoo-es,5,6,1,7,25
onesteinbv,5,3,1,9,28
coopiteasy,4,19,2,59,85
grindtildeath,4,1,1,6,16
odooNextev,4,9,1,63,51
qrtl,4,14,2,39,41
tegin,4,6,1,9,23
PyTech-SRL,3,4,1,6,13
adhoc-dev,3,7,2,14,36
dzungtran89,3,-,1,4,19
initOS,3,13,2,18,43
sebalix,3,3,1,-,1
