Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,84,86,11,235,399
ForgeFlow,43,74,13,164,244
akretion,26,21,7,78,162
camptocamp,25,31,6,143,202
moduon,16,16,3,48,97
acsone,15,31,6,88,158
vauxoo-dev,12,6,5,39,38
coopiteasy,11,13,3,34,65
efatto,10,5,1,18,54
legalsylvain,10,6,1,12,44
NextERP-Romania,9,10,2,-,35
ilyasProgrammer,9,7,1,26,42
factorlibre,8,13,5,41,85
jguenat,8,5,1,9,32
kmee,8,10,4,71,97
Engenere,7,8,2,30,55
terrabit-ro,7,11,1,1,38
landoo-es,6,7,1,6,52
sygel-technology,6,8,2,10,51
Escodoo,5,9,2,23,48
abhinavvaidya-tsd,5,5,1,5,18
cetmix,5,18,3,51,54
mt-software-de,5,5,1,25,54
BT-anieto,4,5,1,12,26
Borruso,4,4,1,13,21
Jarsa-dev,4,11,1,43,42
ecosoft-odoo,4,21,2,21,37
petrus-v,4,3,1,16,19
qrtl,4,7,2,27,39
Studio73,3,2,2,19,40
