Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,408,433,11,926,1.727
ForgeFlow,146,168,16,349,772
camptocamp,68,103,12,388,422
acsone,66,123,14,444,523
tegin,64,80,3,135,324
akretion,50,97,10,205,396
NextERP-Romania,40,40,3,6,156
ecosoft-odoo,33,78,4,119,253
coopiteasy,26,38,5,102,197
moduon,20,32,3,82,180
Escodoo,19,18,1,50,112
Studio73,19,53,7,83,199
factorlibre,19,39,7,58,184
legalsylvain,18,11,1,52,147
yankinmax,18,20,1,53,120
Engenere,16,19,2,40,102
StefanRijnhart,14,12,1,41,77
adhoc-dev,12,13,5,36,78
ndd-odoo,12,-,1,8,24
qrtl,12,32,3,70,86
ramiadavid,11,10,1,38,73
cetmix,10,21,6,99,95
PyTech-SRL,9,16,2,23,59
ilyasProgrammer,8,12,1,20,69
landoo-es,8,12,1,17,77
sonhd91,8,10,1,22,33
SirTakobi,7,24,1,36,55
bosd,7,4,1,14,54
sygel-technology,7,10,2,23,53
terrabit-ro,7,8,2,7,30
