Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;175;167;11;427;676
ForgeFlow;60;65;14;149;247
akretion;47;75;10;115;320
tegin;32;23;3;42;96
camptocamp;30;35;7;111;171
acsone;28;56;9;173;238
"ecosoft-odoo";28;37;4;46;167
moduon;18;18;3;94;137
SirTakobi;14;15;1;51;118
Studio73;14;13;6;53;115
cetmix;13;17;5;51;87
"landoo-es";13;17;1;34;71
"ndd-odoo";13;"-";1;14;23
Comunitea;12;13;2;26;41
Engenere;11;14;2;40;68
factorlibre;11;15;5;47;118
legalsylvain;10;12;1;22;50
bvanjeelharia;9;9;1;18;37
Escodoo;8;17;1;22;51
"NextERP-Romania";8;10;2;"-";16
ursais;8;63;3;22;92
QubiQ;7;4;1;34;55
rodrigonevest;7;12;1;23;49
"vauxoo-dev";7;6;5;22;56
"PyTech-SRL";6;13;2;25;52
dzungtran89;6;11;1;13;31
ilyasProgrammer;5;12;1;38;67
kmee;5;14;3;20;40
"Moka-Tourisme";4;1;1;"-";18
coopiteasy;4;10;2;16;32
