User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;22;20;257;186;227
legalsylvain;22;12;110;58;85
dreispt;15;5;101;28;47
"francesco-ooops";"-";"-";94;39;49
chienandalu;12;5;18;81;94
gurneyalex;4;4;67;31;45
rvalyi;5;5;56;33;48
simahawk;8;5;41;47;61
LoisRForgeFlow;19;17;39;24;52
etobella;14;14;43;21;45
sbidoul;10;11;49;21;42
aleuffre;12;11;17;52;71
yajo;17;17;30;24;51
SirAionTech;12;5;33;35;49
rousseldenis;8;5;37;34;48
jbaudoux;6;2;21;49;58
feketemihai;15;14;43;1;25
celm1990;12;6;39;13;29
rafaelbn;"-";"-";39;31;37
sergiocorato;14;7;22;17;32
lmignon;4;3;21;32;42
EmilioPascual;11;11;11;16;34
"renda-dev";15;17;3;16;39
marcelsavegnago;9;5;12;23;34
HaraldPanten;"-";"-";25;23;28
antoniospneto;11;8;10;19;33
ivantodorovich;3;3;23;15;25
bosd;1;4;27;12;22
"petrus-v";9;3;8;22;31
victoralmau;10;11;5;14;30
dhongu;10;10;15;5;22
hbrunn;6;4;16;7;17
TDu;10;4;7;10;20
tafaRU;1;2;17;9;16
thomaspaulb;5;4;18;5;15
Shide;5;3;5;19;26
ValentinVinagre;3;3;8;18;26
"len-foss";6;2;17;7;16
nguyenminhchien;8;5;10;7;18
JordiBForgeFlow;5;4;11;8;18
"alexis-via";10;2;9;5;13
dalonsod;10;6;7;8;20
AaronHForgeFlow;"-";"-";9;17;20
ilyasProgrammer;9;9;6;5;19
santostelmo;6;2;3;15;21
"mt-software-de";6;2;13;5;13
Borruso;2;7;15;2;14
CRogos;3;4;16;2;12
geomer198;1;3;7;15;22
odooNextev;5;5;11;2;13
brian10048;3;9;11;1;15
matteoopenf;2;1;10;9;15
huguesdk;4;4;11;4;13
"pilarvargas-tecnativa";6;6;3;8;18
sbejaoui;10;6;2;3;14
AungKoKoLin1997;4;5;4;7;16
Saran440;9;5;5;2;12
dessanhemrayev;"-";3;4;14;19
"sergio-teruel";3;6;6;7;17
StefanRijnhart;2;1;13;4;10
"ACheung-FactorLibre";1;"-";5;13;16
MiquelRForgeFlow;3;3;5;7;14
carmenbianca;"-";2;1;15;18
"carolinafernandez-tecnativa";3;3;4;9;16
grindtildeath;5;4;5;4;12
"ivs-cetmix";1;1;5;12;16
"vincent-hatakeyama";4;3;9;2;10
ChrisOForgeFlow;5;5;"-";6;13
"john-herholz-dt";7;"-";4;5;10
flotho;2;"-";3;12;15
kaynnan;1;2;3;9;14
kittiu;"-";"-";9;7;10
lethuthao2403;4;8;4;1;13
ramiadavid;5;4;3;4;12
Tisho99;4;2;6;2;8
bealdav;2;3;4;5;11
robinkeunen;1;1;8;6;11
smcqueen81;"-";"-";"-";16;16
stananatanaela;8;7;"-";"-";10
youelEl;10;"-";"-";"-";3
BernatPForgeFlow;9;3;"-";3;9
CarlosRoca13;6;4;1;4;11
PauBForgeFlow;10;2;1;2;8
eLBati;2;1;11;"-";6
sebalix;2;2;2;9;14
NL66278;2;1;7;4;9
andreampiovesana;"-";"-";8;6;9
sebastienbeau;2;1;6;4;9
"alexey-pelykh";"-";"-";7;6;9
"bruno-zanotti";3;1;8;"-";6
ghost;5;1;5;"-";5
manuelregidor;2;2;6;3;9
"remi-filament";3;2;4;2;8
GSLabIt;"-";"-";2;10;11
JordiMForgeFlow;3;"-";"-";9;11
"adrian-dks";7;4;1;"-";8
aritzolea;3;3;3;3;9
fcvalgar;"-";"-";"-";12;12
luisg123v;"-";"-";5;7;9
moitabenfdz;5;1;2;1;6
nilshamerlinck;2;2;1;7;11
ntsirintanis;5;4;3;"-";8
peluko00;5;"-";3;1;5
ygcarvalh;1;1;4;6;10
JasminSForgeFlow;1;1;"-";7;9
"Kev-Roche";3;"-";4;4;8
Volodiay622;1;2;1;7;11
amkarthik;2;"-";3;6;9
andreagidaltig;"-";4;5;2;8
"dsolanki-initos";"-";2;"-";"-";2
hamidk1010;2;2;4;2;7
mmequignon;2;1;"-";6;8
ozoromo;5;"-";4;"-";4
AntoniRomera;"-";2;7;1;6
Daemo00;2;4;2;2;9
acsonefho;1;1;1;7;10
adrienpeiffer;1;3;5;1;7
cuongnmtm;2;4;2;2;9
ecino;"-";2;4;4;8
"fd-oerp";"-";"-";8;2;5
"florian-dacosta";1;"-";2;6;8
hildickethan;1;1;3;5;9
"luc-demeyer";3;"-";5;2;6
rinaldifirdaus;2;"-";3;4;7
sanderlienaerts;2;1;7;"-";5
"tb-flyt";3;1;1;4;8
SodexisTeam;"-";3;1;5;9
adasatorres;6;1;"-";1;4
bvanjeelharia;3;"-";6;"-";4
kluna1998;2;1;1;5;8
mcojocaru;4;3;"-";"-";5
paradoxxxzero;9;"-";"-";"-";3
"rov-adhoc";5;"-";2;1;5
rven;4;1;3;1;6
AndreMarcos;2;1;2;3;7
"BT-anieto";"-";3;5;"-";5
DavidJForgeFlow;3;2;"-";2;6
DemchukM;"-";"-";"-";8;8
FernandoRomera;2;"-";4;2;5
Gelojr;"-";"-";1;7;8
HviorForgeFlow;"-";"-";4;4;6
JuMiSanAr;3;1;"-";4;7
SergiCForgeFlow;3;2;2;1;6
angelgarciadelachica;"-";2;5;1;5
bizzappdev;"-";"-";"-";"-";0
"chafique-delli";"-";"-";"-";7;7
"ljsalvatierra-factorlibre";"-";"-";5;2;4
m1k3lm;5;"-";2;"-";4
mbcosta;"-";1;7;"-";4
"saeed-raeisi";1;1;4;2;6
syera94;1;"-";"-";4;5
Bearnard21;"-";4;1;1;6
"IT-Ideas";3;"-";4;"-";4
JaumeBforgeFlow;2;1;"-";2;4
abenzbiria;2;"-";4;"-";3
"amh-mw";1;2;3;1;6
"augusto-weiss";4;"-";"-";"-";2
hussain;1;1;1;4;7
"jorge-luis-dev";3;1;"-";3;6
marielejeune;"-";1;3;3;6
mileo;"-";"-";4;2;4
qgroulard;2;2;"-";3;6
GabbasovDinar;"-";1;2;3;5
GuillemCForgeFlow;1;"-";"-";3;4
"Reyes4711-S73";1;2;1;1;5
TheMule71;1;1;2;2;5
TumbaoJu;1;"-";3;1;4
"aktiv-heli-kantawala";"-";1;"-";"-";1
alan196;"-";2;2;"-";3
alexbottemanne;2;"-";"-";3;4
augustodinizl;"-";"-";"-";6;6
carlosdauden;1;1;"-";3;5
cvinh;1;2;1;2;6
felipemotter;1;2;"-";3;6
florentx;3;1;"-";1;4
giarve;4;"-";1;1;4
guewen;"-";"-";4;2;4
hhgabelgaard;1;"-";2;1;3
jappi00;1;"-";5;"-";3
metaminux;3;3;"-";"-";5
"mourad-ehm";"-";"-";1;2;3
rosenvladimirov;3;1;"-";"-";3
yostashiro;"-";"-";1;5;6
AlexPForgeFlow;2;2;1;"-";4
CetmixGitDrone;"-";"-";5;"-";2
Katulos;2;1;1;"-";3
"Mat-moran";1;"-";2;2;4
Meisolsson;1;1;3;"-";4
"NICO-SOLUTIONS";2;1;2;"-";4
PCatinean;1;"-";4;"-";3
QuocDuong1306;1;2;2;"-";4
RLeeOSI;2;"-";3;"-";3
Ricardoalso;"-";"-";"-";5;5
SMaciasOSI;2;"-";1;2;4
SilvioC2C;"-";"-";1;3;4
SoniaViciana;"-";"-";1;4;5
TesaLazarenko;"-";"-";5;"-";2
anajuaristi;"-";"-";2;3;4
atchuthan;"-";1;1;3;5
cormaza;"-";"-";2;3;4
fkantelberg;"-";"-";1;2;3
"lef-adhoc";3;"-";1;1;4
moylop260;"-";"-";5;"-";2
"ps-tubtim";1;1;"-";3;5
razvanioan;1;1;3;"-";4
thienvh332;"-";2;2;1;4
tuantrantg;1;"-";2;2;4
vuwnevska;"-";"-";"-";5;5
Aldeigja;"-";"-";1;2;3
ArnauCForgeFlow;3;"-";"-";"-";2
MRomeera;"-";"-";"-";4;4
PaulGoubert;"-";"-";1;3;4
WesleyOliveira98;2;"-";"-";2;3
Zodk2;"-";1;3;"-";3
"ajaniszewska-dev";"-";1;2;1;3
"anikeenko-viktor";2;1;"-";1;3
"ap-wtioit";1;2;1;"-";4
fasilwdr;3;"-";"-";"-";2
houssine78;"-";"-";2;2;3
hparfr;"-";"-";"-";4;4
jumeldi74;1;"-";2;"-";2
marylla;"-";"-";4;"-";2
max3903;"-";2;1;1;4
mdurepos;3;"-";"-";"-";2
miikanissi;"-";1;3;"-";3
moctarjallo;1;1;1;1;4
nayatec;2;2;"-";"-";3
njeudy;"-";1;3;"-";3
norlinhenrik;"-";1;2;1;3
okuryan;"-";"-";4;"-";2
tarteo;1;"-";"-";3;4
yankinmax;1;1;1;"-";3
AlexanderPashuk;2;"-";1;"-";2
"BT-etejeda";1;1;1;"-";3
"CasVissers-360ERP";"-";"-";1;2;3
CristianoMafraJunior;2;"-";"-";"-";1
Fabrizio1305;"-";"-";3;"-";2
GOZ4EL;2;"-";"-";"-";1
JoanSForgeFlow;"-";"-";"-";2;2
Olageibol;"-";"-";"-";"-";0
OpenCode;"-";"-";"-";3;3
Pablocce;1;1;1;"-";3
SirTakobi;"-";"-";"-";"-";0
StephaneMangin;1;"-";"-";2;3
ThomasBinsfeld;3;"-";"-";"-";2
alfredoavanzosc;2;"-";"-";"-";1
"andrel-exo";"-";1;"-";2;3
antonag32;1;1;1;"-";3
astirpe;"-";3;"-";"-";3
"chrisb-c01";1;"-";1;1;3
damcar;2;"-";"-";"-";1
"damdam-s";"-";"-";"-";3;3
dansanti;1;"-";2;"-";2
elvise;"-";"-";3;"-";2
em230418;"-";"-";1;2;3
filipposaviori;"-";"-";3;"-";2
francescapenso;"-";"-";2;1;2
gaelTorrecillas;"-";"-";1;"-";1
gfcapalbo;"-";1;"-";2;3
hieulucky111;"-";"-";2;1;2
hirokibastos;1;2;"-";"-";3
ioans73;"-";"-";2;1;2
jcdrubay;1;1;1;"-";3
kevinkhao;"-";"-";"-";2;2
mathisjacoby;1;1;"-";1;3
matiasperalta1;1;1;"-";"-";2
myrrkel;"-";1;2;"-";2
navarrorico;"-";"-";"-";3;3
"ndd-odoo";"-";"-";1;2;3
newtratip;1;1;"-";1;3
nramosdev;"-";"-";"-";2;2
"quoc-pn";"-";1;2;"-";2
samoros1;1;"-";1;"-";2
"sofien-moalla";2;"-";"-";"-";1
"tien-ld";"-";1;"-";2;3
"victor-champonnois";2;1;"-";"-";2
"xavier-bouquiaux";"-";"-";"-";1;1
yelizariev;"-";"-";2;1;2
yibudak;1;"-";"-";"-";1
ypapouin;"-";"-";1;"-";1
yvaucher;"-";"-";1;1;2
AlmustafaNET;1;"-";"-";"-";1
AnizR;"-";1;"-";"-";1
Berezi;"-";2;"-";"-";2
ChristianSantamaria;"-";"-";"-";2;2
"Dranyel-Bosd";"-";"-";"-";2;2
"FFernandez-PlanetaTIC";"-";"-";"-";"-";0
FlorianMgs;"-";"-";2;"-";1
FranciscoFactorLibre;"-";"-";1;1;2
FrankC013;1;"-";1;"-";2
GuillermoBonet;"-";"-";"-";"-";0
KDRdev;1;"-";"-";"-";1
"MPoch-PlanetaTIC";"-";"-";"-";"-";0
MarcoCalcagni;"-";"-";2;"-";1
MarinaAForgeFlow;1;"-";1;"-";2
MaurizioPellegrinet;"-";"-";"-";2;2
PicchiSeba;1;"-";"-";"-";1
PierrickBrun;"-";1;"-";"-";1
Rad0van;"-";1;1;"-";2
RodrigoBM;1;"-";1;"-";2
TelmoSuarezConinpe;"-";"-";"-";"-";0
"Vandan-OSI";"-";1;"-";"-";1
"Vang-NguyenPhu";1;"-";1;"-";2
"abhinavvaidya-tsd";"-";"-";"-";2;2
"ahaly-compass";"-";"-";2;"-";1
"aiendry-aktivsoftware";"-";"-";"-";"-";0
aisopuro;"-";"-";1;1;2
alessandrocamilli;1;"-";"-";"-";1
aliciagaarzo;1;1;"-";"-";2
"andhit-r";"-";"-";"-";"-";0
andreaowild;2;"-";"-";"-";1
angelinaanaki;1;"-";"-";1;2
baimont;1;"-";"-";1;2
"barkat-matthias";2;"-";"-";"-";1
bguillot;"-";"-";1;1;2
cbeddies;1;"-";"-";"-";1
cyrilmanuel;1;"-";"-";1;2
dalonsofl;"-";"-";1;1;2
"dduarte-odoogap";1;"-";1;"-";2
"dependabot[bot]";"-";2;"-";"-";2
eantones;"-";"-";1;1;2
"ferran-S73";"-";1;1;"-";2
flachica;"-";1;"-";"-";1
isabellerichard;"-";"-";2;"-";1
jaredkipe;"-";"-";"-";1;1
jguenat;"-";"-";2;"-";1
jjscarafia;1;"-";"-";"-";1
jonasbuchholz;1;"-";"-";"-";1
leemannd;"-";"-";1;1;2
lfreeke;"-";"-";"-";2;2
manuelcalerosolis;"-";"-";"-";"-";0
mathben;"-";1;1;"-";2
matthieusaison;1;1;"-";"-";2
michelerusti;"-";"-";"-";1;1
"miguel-S73";1;"-";1;"-";2
mymage;"-";"-";"-";"-";0
nimarosa;"-";"-";1;1;2
oh2fih;1;"-";1;"-";2
"pre-commit-ci[bot]";1;"-";"-";"-";1
primes2h;"-";"-";2;"-";1
quentinDupont;"-";1;1;"-";2
renbenj29974;"-";"-";1;1;2
rquevedo;2;"-";"-";"-";1
"sbiosca-s73";1;"-";1;"-";2
sonhd91;1;"-";1;"-";2
"stefano-ooops";"-";"-";"-";2;2
unique4;"-";"-";1;1;2
vincenzoterzulli;"-";"-";"-";"-";0
vvrossem;"-";"-";"-";1;1
wpichler;1;"-";"-";"-";1
yazber;"-";"-";2;"-";1
yhaelopez;2;"-";"-";"-";1
yweng8111;"-";"-";1;"-";1
"AMEA-LYON";"-";"-";"-";1;1
Abranes;"-";"-";1;"-";1
AdriaGForgeFlow;"-";"-";"-";"-";0
"BT-aleonard";"-";"-";1;"-";1
"BT-mgomez";"-";"-";"-";1;1
"BT-nfrancisco";"-";"-";"-";1;1
"BT-nsanchez";"-";"-";"-";1;1
Bilbonet;1;"-";"-";"-";1
Botakely;"-";"-";"-";"-";0
Camille0907;"-";"-";"-";"-";0
"Chanakya-OSI";"-";"-";"-";1;1
"Christian-RB";"-";1;"-";"-";1
"Daniel-06";"-";"-";"-";"-";0
DaniilDigtyar;1;"-";"-";"-";1
DiegoFJ95;"-";1;"-";"-";1
"Du-ma";"-";"-";"-";1;1
"Fabiola-Auz";"-";1;"-";"-";1
FrancoMaxime;"-";"-";"-";"-";0
FranzPoize;"-";"-";1;"-";1
Guenzn;"-";"-";"-";"-";0
IvanHRN;"-";"-";"-";"-";0
JoanSoleForgeflow;"-";"-";"-";"-";0
JoelZilli;"-";"-";"-";"-";0
JonathanStein;1;"-";"-";"-";1
JorgeQuinteros;"-";"-";"-";1;1
JuanyDForgeflow;"-";"-";"-";"-";0
Kiplangatdan;"-";"-";"-";"-";0
KristofGommers;"-";"-";"-";"-";0
"LRovira-PlanetaTIC";"-";"-";"-";"-";0
LauraCForgeFlow;1;"-";"-";"-";1
Legostaiman;"-";"-";"-";"-";0
"MS-OSI";"-";"-";"-";"-";0
MahmoudSalah94;"-";"-";"-";"-";0
Mantux11;"-";"-";1;"-";1
NiChrDeuse;1;"-";"-";"-";1
OKT96;"-";"-";"-";1;1
OSevangelist;"-";"-";1;"-";1
OriolMForgeFlow;"-";1;"-";"-";1
OscarIndias;"-";"-";"-";1;1
P4R;"-";"-";"-";1;1
PavarunCh;"-";"-";"-";"-";0
PieterJanCassiman;"-";"-";"-";"-";0
"ProcessControl-EAMF";"-";"-";"-";"-";0
R3D2;"-";"-";"-";"-";0
RobinetDenisAcsone;"-";"-";"-";"-";0
SergioPSV;"-";"-";"-";"-";0
"Sibert-Aerts";"-";1;"-";"-";1
SkiBY;1;"-";"-";"-";1
StevenSermeus;"-";"-";"-";"-";0
TITUS6304658;"-";1;"-";"-";1
TennyMkt;1;"-";"-";"-";1
"Trivedi-Vacha-SerpentCS";1;"-";"-";"-";1
"Vimal-OSI";"-";"-";"-";"-";0
XtremXpert;1;"-";"-";"-";1
YahairaCVJarsa;"-";"-";"-";1;1
"agent-z28";"-";"-";1;"-";1
aitoreizmendi;"-";"-";"-";1;1
almumu;"-";1;"-";"-";1
"alvaro-domatix";"-";"-";"-";"-";0
anas2001abdullah;"-";"-";1;"-";1
angelmoya;"-";"-";"-";1;1
"anhvu-sg";"-";"-";1;"-";1
anmarmo1;"-";"-";"-";1;1
"antony-dmpyme";"-";"-";"-";1;1
"are-agilebg";"-";1;"-";"-";1
arturoovf;"-";"-";1;"-";1
bofiltd;"-";"-";1;"-";1
braisab;1;"-";"-";"-";1
caalvinz;"-";"-";"-";"-";0
chandni299;"-";"-";1;"-";1
christdum;"-";"-";"-";"-";0
ckolobow;"-";"-";"-";1;1
codedev27;"-";"-";"-";"-";0
cpintofonseca;"-";"-";"-";1;1
crazybolillo;"-";"-";1;"-";1
czea;"-";1;"-";"-";1
"dani-xtendoo";"-";"-";"-";"-";0
danielduqma;1;"-";"-";"-";1
dannyadair;"-";"-";1;"-";1
dantiller2;"-";"-";"-";"-";0
daramousk;"-";"-";"-";"-";0
dcorio;"-";"-";"-";1;1
"ddejong-therp";"-";"-";"-";1;1
didierdonze;"-";"-";"-";1;1
diginesis;"-";"-";"-";"-";0
dnplkndll;"-";"-";"-";"-";0
douglascstd;"-";"-";"-";1;1
drewes;"-";"-";1;"-";1
dzungtran89;"-";"-";"-";"-";0
emagdalenaC2i;"-";"-";"-";1;1
"ernesto-garcia-tecnativa";"-";"-";"-";"-";0
