Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;113;124;9;393;506
ForgeFlow;90;83;19;179;392
camptocamp;53;42;8;163;341
akretion;50;59;11;130;369
acsone;48;54;10;133;293
"ecosoft-odoo";31;14;4;55;180
"PyTech-SRL";26;32;2;87;159
"terrabit-ro";26;29;1;"-";125
moduon;15;21;3;35;76
"mt-software-de";15;9;1;42;126
bosd;14;24;1;59;110
"sygel-technology";14;13;2;37;126
cetmix;13;34;5;185;183
ursais;13;10;10;24;95
factorlibre;12;20;6;62;78
dixmit;11;17;1;30;105
qrtl;11;11;2;39;50
"NextERP-Romania";10;11;2;1;43
legalsylvain;9;4;1;27;51
"luc-demeyer";9;13;1;23;58
Escodoo;8;14;2;30;53
celm1990;8;11;1;16;58
coopiteasy;8;10;4;34;76
ilyasProgrammer;8;5;1;29;65
APSL;7;20;3;35;79
QuocDuong1306;6;5;1;31;33
"adhoc-dev";6;10;3;11;39
efatto;6;9;1;9;20
simahawk;6;6;1;"-";12
grindtildeath;5;2;1;14;32
