Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.234,1.303,15,3.298,5.333
ForgeFlow,531,663,23,1.468,2.807
akretion,330,468,18,1.022,2.404
acsone,282,442,19,1.259,1.957
camptocamp,274,354,15,1.288,1.746
ecosoft-odoo,147,258,5,394,966
tegin,136,144,4,278,622
NextERP-Romania,123,131,3,11,495
moduon,122,141,5,435,823
factorlibre,106,149,18,456,972
legalsylvain,101,110,1,289,667
coopiteasy,85,129,6,469,676
Studio73,84,120,13,308,713
Escodoo,78,114,4,236,525
Engenere,75,98,2,270,639
terrabit-ro,68,81,2,9,327
cetmix,60,99,10,496,547
landoo-es,59,66,1,108,351
vauxoo-dev,54,64,17,221,417
PyTech-SRL,48,91,3,154,382
qrtl,48,103,4,259,400
SirTakobi,46,78,1,199,393
ilyasProgrammer,42,60,1,193,369
sygel-technology,42,48,3,139,365
ndd-odoo,39,21,1,100,97
kmee,38,83,11,261,491
mt-software-de,33,56,1,254,383
ursais,33,150,10,173,521
efatto,31,77,1,88,281
initOS,27,104,4,137,285
