Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,219,230,11,485,920
ForgeFlow,72,86,15,152,375
tegin,48,61,3,96,212
camptocamp,46,56,11,207,264
ecosoft-odoo,28,45,4,85,176
akretion,27,54,8,98,242
acsone,26,62,8,194,213
NextERP-Romania,18,17,2,1,80
coopiteasy,18,29,4,71,126
yankinmax,16,18,1,40,97
Engenere,10,13,2,23,73
Studio73,10,24,5,36,90
factorlibre,9,19,5,36,89
moduon,9,13,3,37,49
Escodoo,8,7,1,26,53
bosd,7,4,1,14,53
qrtl,7,13,3,29,46
sonhd91,7,9,1,17,24
adhoc-dev,6,5,5,24,33
cetmix,6,13,5,53,49
dzungtran89,6,6,1,17,29
ilyasProgrammer,6,8,1,11,50
SirTakobi,5,10,1,11,25
dannyadair,5,5,1,8,28
onesteinbv,5,8,1,22,32
QubiQ,4,12,1,53,61
StefanRijnhart,4,3,1,13,20
anothingguy,4,5,1,10,15
landoo-es,4,5,1,9,46
lefilament,4,5,1,10,20
