Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;917;967;13;"2.315";"3.873"
ForgeFlow;389;455;21;986;"2.039"
akretion;231;359;17;737;"1.724"
camptocamp;198;267;14;891;"1.211"
acsone;188;306;19;977;"1.338"
tegin;126;138;3;257;569
"ecosoft-odoo";105;194;4;287;697
"NextERP-Romania";94;104;3;9;362
moduon;79;94;5;306;585
factorlibre;76;108;15;333;723
legalsylvain;71;91;1;245;504
Studio73;65;98;12;242;561
Engenere;54;75;2;182;443
coopiteasy;51;101;6;350;458
"landoo-es";47;52;1;83;262
cetmix;41;64;8;294;363
Escodoo;39;61;3;112;255
"vauxoo-dev";36;42;14;143;292
SirTakobi;34;51;1;131;272
qrtl;32;82;4;191;266
ilyasProgrammer;28;46;1;146;277
"ndd-odoo";25;"-";1;22;47
yankinmax;25;25;1;72;166
"PyTech-SRL";24;54;2;76;174
kmee;23;49;9;133;252
"sygel-technology";23;25;3;64;155
StefanRijnhart;22;18;1;58;116
ursais;22;127;8;130;385
onesteinbv;20;39;1;102;139
"mt-software-de";19;34;1;149;249
