Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,103,108,11,346,473
ForgeFlow,73,113,16,257,406
akretion,70,78,12,190,470
acsone,51,55,12,172,276
factorlibre,28,37,11,110,243
camptocamp,25,39,6,132,193
moduon,18,15,4,26,105
Studio73,16,12,7,33,100
ecosoft-odoo,16,39,4,55,112
landoo-es,15,13,1,10,58
tegin,15,15,3,27,79
legalsylvain,12,20,1,63,108
vauxoo-dev,12,10,7,50,95
coopiteasy,11,26,3,120,83
kmee,10,17,6,36,111
Engenere,9,19,2,32,108
aurestic,7,8,1,25,57
qrtl,7,14,3,44,70
sygel-technology,7,8,3,13,40
BizzAppDev-Systems,6,-,1,13,31
initOS,6,44,1,39,56
odooNextev,6,13,1,41,72
solvosci,6,10,2,22,39
ilyasProgrammer,5,8,1,27,41
mt-software-de,5,2,1,26,49
onesteinbv,5,4,1,18,33
thinkwelltwd,5,9,1,-,-
Escodoo,4,17,2,25,49
ursais,4,8,3,14,49
QubiQ,3,36,3,52,46
