Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.547,1.664,16,4.240,6.705
ForgeFlow,709,865,24,1.900,3.671
akretion,428,589,22,1.303,3.127
acsone,367,539,19,1.497,2.480
camptocamp,355,434,16,1.560,2.263
ecosoft-odoo,193,303,6,495,1.255
NextERP-Romania,154,160,3,13,622
moduon,150,179,5,531,997
tegin,141,147,4,282,649
factorlibre,128,185,19,565,1.130
legalsylvain,112,115,1,319,735
terrabit-ro,105,120,3,11,495
PyTech-SRL,101,160,3,382,786
coopiteasy,98,147,6,536,788
Escodoo,92,134,5,295,633
Studio73,90,134,13,331,791
Engenere,82,102,2,293,688
cetmix,78,143,11,748,795
vauxoo-dev,68,81,19,266,520
sygel-technology,65,75,3,217,550
qrtl,61,118,4,324,479
landoo-es,59,66,1,108,351
ilyasProgrammer,56,74,1,248,492
ursais,52,172,15,208,661
SirTakobi,50,78,1,206,420
mt-software-de,49,68,1,302,523
dixmit,47,70,1,120,353
Borruso,44,76,1,279,443
efatto,44,105,1,116,376
kmee,44,98,11,316,577
