User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;210;211;"2.671";"1.635";"1.912"
rousseldenis;59;39;802;503;578
chienandalu;93;82;155;639;743
legalsylvain;99;74;454;292;397
victoralmau;251;242;172;188;459
simahawk;96;81;404;241;352
rvalyi;61;40;434;240;309
LoisRForgeFlow;76;77;282;205;308
AaronHForgeFlow;30;26;261;220;268
etobella;96;87;207;144;255
lmignon;26;23;164;311;352
rafaelbn;"-";"-";344;183;202
"francesco-ooops";"-";"-";396;126;146
MiquelRForgeFlow;86;92;118;208;320
jbaudoux;9;6;111;342;362
"alexis-via";105;94;203;38;156
Saran440;121;67;149;89;179
marcelsavegnago;40;34;153;161;214
sbidoul;40;37;228;79;137
"sergio-teruel";69;78;93;130;226
yajo;46;38;134;110;166
ivantodorovich;27;27;119;143;186
CarlosRoca13;50;52;36;178;243
"pilarvargas-tecnativa";82;72;59;86;175
sebalix;29;20;75;173;207
TDu;49;38;50;118;170
"stefan-tecnativa";71;55;32;99;168
"ao-landoo";52;47;106;36;101
tafaRU;9;4;163;67;87
antoniospneto;37;23;72;100;138
RodrigoBM;24;20;91;94;128
yankinmax;25;25;74;104;143
bosd;31;15;123;54;86
HviorForgeFlow;9;10;135;69;94
SirTakobi;51;34;91;46;97
hbrunn;30;10;86;79;104
nimarosa;7;6;140;63;83
matteoopenf;16;9;137;50;75
ernestotejeda;45;38;70;61;114
felipemotter;38;31;81;63;109
StefanRijnhart;18;22;118;52;89
astirpe;39;20;53;92;126
"mt-software-de";34;19;91;59;93
carlosdauden;26;26;19;134;169
dreispt;16;9;126;40;64
bizzappdev;92;12;58;11;40
"dsolanki-initos";79;12;41;43;70
yostashiro;7;4;52;121;135
NL66278;19;11;82;56;80
Shide;30;27;45;78;117
carmenbianca;29;13;46;78;103
gurneyalex;14;9;84;64;86
"ps-tubtim";52;22;23;65;99
odooNextev;42;15;62;37;66
max3903;4;4;83;72;87
AungKoKoLin1997;67;26;32;31;71
sergiocorato;42;7;70;39;61
feketemihai;22;22;108;7;44
hparfr;13;5;45;93;108
"Yadier-Tecnativa";32;25;54;44;82
hildickethan;21;17;57;60;89
mmequignon;11;11;30;101;121
"ernesto-garcia-tecnativa";38;34;56;23;71
ilyasProgrammer;47;28;25;30;70
aleuffre;44;18;47;22;53
"florian-dacosta";28;17;53;37;67
sebastienbeau;23;19;56;35;66
JuMiSanAr;40;30;18;45;86
bealdav;17;8;49;58;77
sbejaoui;32;13;24;64;88
eLBati;4;3;53;58;70
polqubiq;21;13;50;45;70
JordiMForgeFlow;24;22;28;59;91
huguesdk;31;14;37;44;70
luisg123v;5;3;43;78;90
renatonlima;27;24;29;47;82
JordiBForgeFlow;15;8;67;21;41
"ljsalvatierra-factorlibre";20;14;56;31;57
dalonsod;14;11;61;31;54
grindtildeath;11;9;32;67;85
TheMule71;14;12;41;50;72
mileo;4;1;37;42;51
"hugo-cordoba";11;7;54;37;55
marielejeune;37;20;18;36;66
"victor-champonnois";12;12;37;48;70
"ferran-S73";15;15;47;29;55
BernatPForgeFlow;37;37;2;23;67
FrancoMaxime;13;9;9;75;91
bvanjeelharia;18;18;33;34;62
andreampiovesana;10;1;36;54;64
ghost;42;14;28;"-";26
thomaspaulb;9;4;42;42;55
GuillemCForgeFlow;16;19;25;39;67
primes2h;3;4;49;40;53
remytms;19;7;21;48;64
JuanyDForgeflow;22;17;22;32;58
CRogos;19;11;44;17;39
"petrus-v";21;5;17;43;57
moylop260;3;4;69;18;32
DavidJForgeFlow;29;18;13;29;56
geomer198;16;7;7;58;72
mcojocaru;48;41;1;"-";49
HaraldPanten;"-";"-";58;32;40
sanchonuria;26;21;3;30;58
PierrickBrun;19;4;36;21;35
omar7r;16;12;23;33;54
leemannd;8;2;30;39;49
tarteo;9;5;40;27;41
Borruso;40;7;12;20;37
dzungtran89;20;17;31;7;34
StephaneMangin;5;4;36;33;45
robinkeunen;11;5;46;14;29
flotho;5;3;28;36;47
"ivs-cetmix";"-";"-";25;49;54
rven;15;8;27;17;34
"xavier-bouquiaux";13;16;22;17;41
yvaucher;3;2;53;14;25
"Reyes4711-S73";11;8;30;22;39
ChrisOForgeFlow;23;10;18;13;32
"Kev-Roche";11;5;12;36;48
"ajaniszewska-dev";14;4;13;32;43
glitchov;30;11;13;10;30
JasminSForgeFlow;18;19;16;13;40
flachica;6;1;17;18;26
kaynnan;31;14;14;8;31
nguyenminhchien;12;6;7;43;55
kluna1998;16;18;"-";32;54
antonag32;9;7;31;17;33
ramiadavid;13;19;22;12;39
stananatanaela;34;31;"-";"-";37
GSLabIt;7;5;12;38;49
TheerayutEncoder;13;8;5;30;44
acsonefho;5;2;20;32;41
hieulucky111;3;1;"-";59;62
ypapouin;22;10;15;12;31
JoanSForgeFlow;13;5;5;31;42
fcvalgar;1;1;14;45;51
Aldeigja;13;11;16;19;38
aliciagaarzo;12;5;12;28;40
zamberjo;16;10;25;8;27
"Urvisha-OSI";43;3;2;"-";11
baimont;9;5;14;23;35
sonhd91;17;11;15;8;27
dessanhemrayev;17;11;2;20;37
"CasVissers-360ERP";"-";"-";11;42;45
"RabbitJon-S73";12;6;27;9;24
"amh-mw";7;3;20;22;32
cubells;13;8;17;4;20
guewen;5;3;26;20;30
GabbasovDinar;6;6;3;37;47
JaumeBforgeFlow;15;10;5;18;34
JavierIniesta;10;6;11;25;37
dhongu;18;13;8;6;26
PicchiSeba;13;7;19;10;25
"miguel-S73";16;10;15;8;26
Tardo;6;2;13;26;34
anddago78;16;12;14;5;25
kittiu;"-";8;33;6;20
"mourad-ehm";10;3;12;14;24
mariadforgeflow;7;3;8;30;38
ygcarvalh;13;7;12;13;27
manuelregidor;12;11;14;7;25
"aktiv-heli-kantawala";33;1;1;"-";8
felipezago;16;2;10;11;20
AnizR;11;6;10;16;28
cvinh;4;5;28;6;18
"damdam-s";3;1;7;29;34
jguenat;9;2;17;15;24
mostafabarmshory;6;2;30;5;15
Highcooley;13;4;14;9;20
bguillot;7;1;26;10;19
mbcosta;10;6;24;3;17
michelerusti;9;5;10;20;31
"vincent-hatakeyama";17;7;10;10;24
SilvioC2C;7;6;6;23;34
adrienpeiffer;4;3;12;18;26
chandni299;9;3;18;10;20
eantones;11;12;15;2;21
quannguyen1560;4;1;12;25;31
santostelmo;11;6;6;15;27
fkantelberg;8;7;16;9;23
robyf70;5;2;26;8;17
ecino;15;1;17;6;15
FernandoRomera;3;7;20;6;19
"Nikul-OSI";12;5;16;5;17
ioans73;2;2;15;21;28
"remi-filament";10;9;9;12;27
flalexg;4;3;11;21;29
SkiBY;1;1;12;24;29
atchuthan;5;1;14;11;18
elvise;"-";"-";32;6;12
oihane;16;13;2;6;24
rodrigonevest;17;11;3;5;22
"aiendry-aktivsoftware";28;1;2;"-";8
"BT-anieto";1;2;16;17;24
Bilbonet;2;2;17;13;21
Camille0907;4;3;1;27;33
celm1990;6;4;16;10;20
dannyadair;10;7;17;"-";14
liebana;"-";"-";23;13;18
TonyMasciI;5;"-";19;8;15
alan196;11;1;5;10;17
anothingguy;10;8;5;10;23
