Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;684;721;13;"1.610";"2.813"
ForgeFlow;246;268;17;578;"1.240"
akretion;130;233;16;435;"1.004"
camptocamp;129;174;13;611;759
acsone;117;209;17;715;901
tegin;107;117;3;221;467
"NextERP-Romania";77;80;3;6;280
"ecosoft-odoo";68;135;4;184;470
moduon;52;70;4;249;425
Studio73;41;74;10;181;384
factorlibre;39;62;10;166;394
legalsylvain;39;45;1;110;278
coopiteasy;36;56;5;171;290
Escodoo;35;40;3;85;202
Engenere;31;39;2;92;222
cetmix;31;51;7;208;263
"landoo-es";27;33;1;66;179
"ndd-odoo";25;"-";1;22;47
SirTakobi;23;41;1;100;187
yankinmax;23;23;1;57;149
qrtl;21;54;3;108;155
"PyTech-SRL";19;45;2;63;150
StefanRijnhart;19;14;1;52;106
ilyasProgrammer;18;30;1;70;174
bvanjeelharia;17;17;1;90;123
"vauxoo-dev";17;26;11;64;120
ramiadavid;16;12;1;51;109
ursais;16;112;6;85;273
Comunitea;15;17;2;29;58
bosd;14;18;1;34;131
