Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;583;600;12;"1.353";"2.403"
ForgeFlow;206;233;17;498;"1.019"
camptocamp;98;138;12;499;593
akretion;97;172;14;320;716
tegin;96;103;3;177;420
acsone;94;179;16;617;761
"ecosoft-odoo";61;115;4;165;420
"NextERP-Romania";48;50;3;6;172
moduon;38;50;4;176;317
Studio73;33;66;8;136;314
coopiteasy;30;48;5;118;229
factorlibre;30;54;9;105;302
legalsylvain;28;23;1;74;197
Engenere;27;33;2;80;170
Escodoo;27;35;1;72;163
"ndd-odoo";25;"-";1;22;47
cetmix;23;38;7;150;182
yankinmax;22;22;1;57;145
SirTakobi;21;39;1;87;173
"landoo-es";21;29;1;51;148
StefanRijnhart;17;14;1;46;96
qrtl;16;43;3;94;124
"PyTech-SRL";15;29;2;48;111
bvanjeelharia;15;17;1;83;109
ramiadavid;14;10;1;47;101
Comunitea;13;15;2;28;51
"adhoc-dev";13;17;5;44;118
ilyasProgrammer;13;24;1;58;136
ursais;13;92;4;54;180
"vauxoo-dev";13;18;7;48;92
