Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,56,63,8,157,235
ForgeFlow,41,69,12,99,233
acsone,35,44,11,111,203
moduon,31,32,3,122,163
PyTech-SRL,28,28,2,103,154
NextERP-Romania,24,27,3,2,116
camptocamp,18,35,7,69,107
akretion,15,35,8,71,118
cetmix,14,4,6,83,100
dixmit,12,12,1,14,59
Engenere,10,12,2,33,43
terrabit-ro,10,10,1,-,50
brian10048,9,3,1,2,32
ilyasProgrammer,9,9,1,28,39
sygel-technology,9,9,4,39,58
coopiteasy,8,7,4,32,46
ecosoft-odoo,8,11,4,17,51
lethuthao2403,8,4,1,18,46
ursais,8,19,4,20,109
Borruso,7,2,1,23,76
Escodoo,7,12,2,33,62
efatto,7,14,1,12,48
celm1990,6,11,1,11,53
grap,6,22,1,20,45
legalsylvain,6,-,1,5,28
solvosci,6,10,1,22,24
SirAionTech,5,11,1,10,39
c4a8-odoo,5,3,2,8,32
factorlibre,5,8,3,40,39
nguyenminhchien,5,8,1,12,47
