Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.434";"1.540";16;"3.847";"6.199"
ForgeFlow;619;782;24;"1.721";"3.279"
akretion;378;530;19;"1.173";"2.758"
acsone;319;485;19;"1.364";"2.187"
camptocamp;302;392;16;"1.397";"1.922"
"ecosoft-odoo";162;289;5;440;"1.075"
"NextERP-Romania";144;149;3;12;579
tegin;140;147;4;280;641
moduon;135;158;5;496;921
factorlibre;116;165;18;503;"1.052"
legalsylvain;103;111;1;292;684
coopiteasy;90;137;6;502;712
Studio73;88;128;13;323;752
Escodoo;84;120;5;265;580
Engenere;79;98;2;283;671
"terrabit-ro";79;91;3;11;370
"PyTech-SRL";75;128;3;295;627
cetmix;65;109;10;563;612
"vauxoo-dev";63;73;18;247;484
"landoo-es";59;66;1;108;351
"sygel-technology";51;62;3;180;424
qrtl;50;107;4;285;429
SirTakobi;48;78;1;202;408
ilyasProgrammer;48;69;1;219;427
Borruso;44;69;1;268;419
kmee;40;89;11;298;543
"ndd-odoo";40;22;1;106;102
ursais;39;162;12;184;566
efatto;38;96;1;107;356
dixmit;36;53;1;90;248
