Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,814,859,13,1.969,3.400
ForgeFlow,316,342,19,729,1.633
camptocamp,173,228,14,759,1.018
akretion,161,281,16,547,1.254
acsone,137,251,17,805,1.062
tegin,111,123,3,230,490
NextERP-Romania,94,101,3,8,353
ecosoft-odoo,89,155,4,232,585
moduon,61,79,4,280,480
legalsylvain,59,71,1,182,396
Studio73,49,86,11,209,461
factorlibre,48,71,12,223,480
Engenere,45,56,2,150,335
coopiteasy,40,75,6,230,375
cetmix,38,61,8,277,340
Escodoo,35,44,3,87,206
landoo-es,32,39,1,73,204
SirTakobi,31,46,1,120,254
ndd-odoo,25,-,1,22,47
qrtl,25,68,3,147,196
yankinmax,25,25,1,70,165
vauxoo-dev,24,32,11,93,197
ilyasProgrammer,23,38,1,119,236
PyTech-SRL,22,49,2,69,163
StefanRijnhart,19,14,1,52,106
ursais,18,119,7,116,336
Comunitea,17,20,2,32,68
bvanjeelharia,17,17,1,92,123
ramiadavid,17,12,1,54,128
adhoc-dev,16,28,6,68,173
