User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;24;23;364;216;263
legalsylvain;31;20;117;73;109
simahawk;25;21;97;49;85
rvalyi;18;10;87;33;57
rousseldenis;8;6;76;57;75
LoisRForgeFlow;25;27;51;36;75
chienandalu;9;8;15;88;103
victoralmau;31;26;22;23;59
"francesco-ooops";"-";"-";74;26;35
"sergio-teruel";13;14;26;37;60
Saran440;14;13;28;25;47
jbaudoux;2;2;26;54;63
AaronHForgeFlow;6;3;46;23;35
felipemotter;11;11;30;20;40
RodrigoBM;6;3;30;24;35
sebalix;8;9;6;40;54
rafaelbn;"-";"-";38;24;30
CarlosRoca13;9;9;7;35;50
"Yadier-Tecnativa";8;12;20;20;39
"pilarvargas-tecnativa";19;15;6;19;41
TDu;8;6;8;31;43
odooNextev;9;4;15;24;35
MiquelRForgeFlow;3;2;15;30;38
marcelsavegnago;"-";"-";15;32;36
sbidoul;4;3;30;7;17
tafaRU;"-";"-";30;16;21
antoniospneto;6;3;13;23;32
carlosdauden;8;9;1;25;38
yajo;7;5;16;12;24
ilyasProgrammer;8;5;7;15;25
matteoopenf;4;1;28;6;14
SirTakobi;5;8;18;6;20
"mt-software-de";9;1;17;11;19
"stefan-tecnativa";8;7;6;17;29
JuMiSanAr;10;9;8;5;20
hbrunn;6;1;12;16;23
yostashiro;2;1;10;23;29
carmenbianca;5;"-";10;14;19
"victor-champonnois";"-";2;6;26;30
AungKoKoLin1997;11;3;8;8;17
BernatPForgeFlow;13;12;"-";7;23
TheMule71;4;1;14;13;20
feketemihai;6;6;21;"-";13
GSLabIt;2;2;6;22;28
eLBati;"-";2;17;10;16
ernestotejeda;7;5;9;10;21
dreispt;"-";"-";27;4;9
etobella;6;4;14;7;17
lmignon;"-";2;9;20;25
"alexis-via";9;8;9;1;15
remytms;11;2;9;7;15
NL66278;3;2;17;1;9
"ao-landoo";6;5;12;2;13
ivantodorovich;1;"-";6;19;22
renatonlima;2;3;10;11;19
yankinmax;2;2;4;18;23
bosd;"-";"-";18;7;11
luisg123v;"-";2;11;12;17
sergiocorato;11;1;10;3;10
GuillemCForgeFlow;4;4;9;6;15
andreampiovesana;9;"-";7;7;13
mcojocaru;14;10;"-";"-";14
astirpe;3;5;4;11;20
"dsolanki-initos";11;2;7;1;9
gurneyalex;"-";"-";12;10;13
hparfr;"-";"-";4;17;19
ypapouin;11;2;4;4;11
HviorForgeFlow;1;1;13;5;11
"florian-dacosta";5;3;6;7;15
geomer198;3;2;2;13;18
grindtildeath;1;4;3;13;20
"ivs-cetmix";"-";"-";10;10;13
mmequignon;1;2;9;9;15
CRogos;2;5;9;2;11
florentx;7;5;"-";8;16
"ps-tubtim";2;4;"-";13;18
dhongu;6;3;4;2;9
FrancoMaxime;"-";"-";1;17;18
TheerayutEncoder;1;3;"-";14;18
max3903;2;2;7;7;13
mbcosta;2;4;10;1;10
JordiBForgeFlow;"-";"-";9;7;10
aleuffre;4;3;5;5;12
bealdav;"-";1;8;7;11
"ferran-S73";4;3;7;3;11
hildickethan;2;1;8;6;11
mileo;"-";1;7;4;8
nguyenminhchien;2;1;3;10;14
nimarosa;2;2;9;4;10
JasminSForgeFlow;5;5;4;2;11
JoanSForgeFlow;5;2;"-";7;11
StefanRijnhart;"-";"-";11;4;7
Volodiay622;3;"-";2;8;11
acsonefho;"-";1;7;5;9
ghost;8;1;4;"-";6
yvaucher;1;1;10;3;8
HaraldPanten;"-";"-";11;3;6
huguesdk;2;"-";10;2;7
"Entrepreneur-AJ";1;"-";6;5;8
Highcooley;3;1;4;5;10
dalonsod;1;1;6;3;7
"ljsalvatierra-factorlibre";"-";3;3;7;12
michelerusti;2;1;2;8;12
"petrus-v";1;1;2;7;10
primes2h;"-";"-";9;4;7
tarteo;"-";"-";7;6;9
PierrickBrun;"-";"-";9;2;5
SoporteOperu;11;1;"-";"-";4
enriquemartin;1;1;"-";10;12
"len-foss";4;"-";3;5;9
lubusax;5;3;3;"-";7
zamberjo;6;2;3;1;7
GabbasovDinar;"-";1;"-";10;11
JaumeBforgeFlow;2;4;1;4;10
JordiMForgeFlow;1;1;"-";9;11
OSevangelist;"-";"-";10;1;4
StevenSermeus;10;"-";"-";1;4
angelmoya;2;"-";7;1;5
felipezago;2;"-";2;7;10
guewen;4;"-";3;4;8
kaynnan;5;"-";4;1;5
manuelregidor;3;3;5;"-";7
mariadforgeflow;3;"-";2;5;8
marielejeune;3;2;2;4;9
micheledic;1;"-";6;3;6
Borruso;6;2;2;"-";6
JesusValdez96;2;1;6;1;6
"ernesto-garcia-tecnativa";2;2;4;2;7
gdgellatly;"-";"-";3;7;9
hailangvn2023;2;1;5;2;7
jcdrubay;"-";"-";2;7;8
jguenat;1;1;3;4;8
moylop260;"-";"-";8;2;5
nilshamerlinck;2;"-";1;5;7
Aldeigja;2;1;4;2;6
ChrisOForgeFlow;1;3;4;"-";6
JavierIniesta;1;"-";2;6;8
"aiendry-aktivsoftware";7;"-";1;"-";4
anddago78;2;3;3;"-";6
diogocsc;"-";1;2;6;8
glitchov;5;1;2;1;6
"hugo-cordoba";1;"-";3;4;7
ioans73;"-";"-";4;5;7
quannguyen1560;2;"-";3;3;6
sbejaoui;4;"-";"-";5;7
slitheryduke11;2;2;5;"-";6
suniagajose;"-";"-";2;6;7
ygcarvalh;2;1;4;1;5
BorisFL;"-";"-";3;5;7
JuanyDForgeflow;"-";4;3;1;7
antonag32;2;1;4;"-";4
bguillot;1;"-";7;"-";4
caiuka;2;"-";3;1;4
cyrilmanuel;1;1;3;3;7
"damdam-s";1;"-";"-";6;7
dessanhemrayev;1;2;"-";4;7
douglascstd;1;"-";3;3;6
jcoux;"-";"-";1;7;8
"john-herholz-dt";"-";"-";2;2;3
leemannd;"-";"-";7;"-";3
njeudy;"-";"-";3;5;7
sebastienbeau;2;1;4;"-";4
"BT-aleonard";2;"-";3;2;5
MohamedOsman7;"-";"-";1;6;7
"Nikul-OSI";1;1;4;"-";4
PavarunCh;3;"-";2;2;5
Shide;"-";1;2;4;6
"ajaniszewska-dev";"-";"-";1;6;7
bizzappdev;"-";2;3;1;5
dzungtran89;"-";3;4;"-";5
fcvalgar;"-";"-";1;6;7
kisuka;2;"-";2;2;5
kwoychesko;2;1;3;"-";4
