Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;120;138;11;393;579
acsone;44;54;10;69;206
akretion;43;54;9;127;273
"ecosoft-odoo";33;25;5;67;188
ForgeFlow;28;40;11;87;175
"terrabit-ro";28;27;1;"-";143
moduon;19;21;4;36;78
dixmit;16;21;1;29;104
"NextERP-Romania";15;14;3;2;76
camptocamp;15;19;6;65;99
factorlibre;13;14;7;54;100
"PyTech-SRL";12;17;3;44;103
Borruso;11;11;1;76;113
Escodoo;11;8;3;40;85
legalsylvain;11;8;1;15;63
Studio73;9;8;3;23;67
cetmix;9;5;6;84;73
"sygel-technology";9;10;3;32;104
efatto;8;13;1;4;52
simahawk;8;8;1;2;15
"Jarsa-dev";7;9;2;7;32
odooNextev;7;10;1;80;96
Engenere;6;10;2;36;88
SirAionTech;6;17;1;24;52
aurestic;6;6;2;12;27
qrtl;6;6;1;18;52
coopiteasy;5;5;3;5;49
tegin;5;5;1;12;23
TheMule71;4;4;1;12;22
bosd;4;2;1;11;34
