Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;101;121;10;257;410
ForgeFlow;40;35;8;80;221
akretion;33;61;10;115;288
camptocamp;31;36;9;112;166
"NextERP-Romania";29;30;3;"-";108
acsone;23;30;9;98;140
moduon;14;20;3;73;108
legalsylvain;11;22;1;36;81
tegin;11;14;3;44;47
factorlibre;9;8;6;61;92
Escodoo;8;5;3;13;39
Studio73;8;8;6;45;70
cetmix;8;13;3;58;81
kaynnan;8;8;1;23;43
ShwetaSerpentCS;7;"-";1;"-";1
"ecosoft-odoo";7;20;2;19;50
"mt-software-de";7;8;1;20;69
coopiteasy;6;8;2;53;61
"landoo-es";6;4;1;15;31
solvosci;6;5;2;12;52
avanzosc;5;2;1;5;18
bosd;5;12;1;14;59
ilyasProgrammer;5;6;1;12;38
qrtl;5;11;2;14;31
Engenere;4;6;2;12;52
"PyTech-SRL";4;16;1;15;39
TheMule71;4;4;1;9;25
"sygel-technology";4;2;1;9;24
"vauxoo-dev";4;8;4;16;28
anothingguy;3;1;1;4;17
