Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.030";"1.079";14;"2.670";"4.355"
ForgeFlow;460;549;22;"1.217";"2.388"
akretion;261;393;17;817;"1.969"
camptocamp;234;304;15;"1.080";"1.445"
acsone;223;357;19;"1.102";"1.593"
tegin;129;139;3;264;588
"ecosoft-odoo";110;212;4;306;741
"NextERP-Romania";99;107;3;9;384
moduon;87;104;5;351;648
factorlibre;85;122;16;361;787
legalsylvain;80;96;1;262;560
Studio73;72;110;13;266;606
coopiteasy;69;111;6;430;562
Engenere;62;80;2;204;496
Escodoo;62;97;3;173;392
"landoo-es";52;59;1;102;288
cetmix;46;76;8;361;420
SirTakobi;41;62;1;165;336
"vauxoo-dev";41;53;14;155;329
"ndd-odoo";38;18;1;91;95
qrtl;38;90;4;214;309
"PyTech-SRL";34;71;2;103;250
"terrabit-ro";33;43;2;8;146
ilyasProgrammer;31;49;1;156;305
kmee;28;62;10;164;326
"mt-software-de";28;48;1;229;323
"sygel-technology";27;30;3;97;210
ursais;26;132;9;140;441
yankinmax;25;26;1;72;166
StefanRijnhart;24;19;1;60;127
