Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;92;113;10;424;541
akretion;52;103;12;212;406
camptocamp;29;27;4;106;154
StefanRijnhart;26;8;1;39;23
"ecosoft-odoo";21;28;6;97;198
acsone;18;26;5;49;127
Escodoo;15;17;1;81;128
sunflowerit;13;15;1;50;87
nilshamerlinck;11;6;1;28;30
ursais;9;37;5;34;40
"vauxoo-dev";9;9;4;43;24
ForgeFlow;8;18;6;23;56
tegin;8;3;2;20;48
efatto;7;10;1;22;44
guewen;5;3;1;21;23
sebalix;5;"-";1;4;24
Studio73;4;15;2;20;26
TimLai125;4;4;1;14;32
VanMoof;4;4;1;4;31
eLBati;4;4;1;32;24
initOS;4;6;2;9;27
onesteinbv;4;1;1;13;38
Vanneri;3;"-";1;4;18
"luc-demeyer";3;4;1;5;20
ozono;3;3;1;13;15
simahawk;3;2;1;6;19
solvosci;3;3;1;11;19
ElvenStudio;2;3;1;7;12
"Jarsa-dev";2;9;1;5;13
PESOL;2;5;1;10;26
