Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;517;580;11;"2.003";"2.715"
akretion;198;278;14;792;"1.358"
ForgeFlow;176;221;10;683;850
acsone;104;185;14;327;602
camptocamp;104;122;10;463;583
"ecosoft-odoo";95;115;12;394;779
Escodoo;70;98;1;291;576
ursais;54;152;12;172;366
kmee;42;80;5;246;466
tegin;42;38;3;126;264
StefanRijnhart;37;21;1;86;72
eLBati;36;46;1;130;195
initOS;28;61;6;186;398
VanMoof;27;39;1;106;161
efatto;27;44;1;85;169
sunflowerit;21;28;1;97;151
TDu;18;23;1;156;148
blooparksystems;17;20;3;50;17
onesteinbv;16;8;1;63;142
"NextERP-Romania";15;22;3;22;52
"terrabit-ro";15;14;1;8;22
simahawk;14;13;1;86;108
SimoRubi;13;22;1;63;87
solvosci;13;15;2;53;106
guewen;12;10;1;34;59
"vauxoo-dev";12;15;6;51;51
QubiQ;11;15;4;47;89
Studio73;11;45;5;68;105
nilshamerlinck;11;7;1;32;36
fredzamoabg;10;21;1;59;75
