Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;58;67;10;261;432
akretion;43;69;8;149;463
camptocamp;40;52;5;136;268
ForgeFlow;18;39;8;123;159
acsone;18;27;7;51;112
"ecosoft-odoo";16;43;4;74;192
ursais;16;36;8;68;169
legalsylvain;13;11;1;30;109
initOS;11;9;3;52;129
Escodoo;10;11;1;34;96
dzungtran89;9;"-";1;48;59
VanMoof;8;7;3;15;40
SimoRubi;6;5;1;19;49
Studio73;6;5;6;28;70
"Trivedi-Vacha-SerpentCS";6;3;2;"-";4
sebalix;6;5;1;10;52
commitsun;5;5;2;5;22
gurneyalex;5;1;1;5;25
phuctranfxvn;5;"-";1;33;57
hbrunn;4;3;1;2;12
simahawk;4;2;1;8;22
StefanRijnhart;3;3;1;12;9
jbaudoux;3;4;1;19;34
"landoo-es";3;2;1;3;46
"odoo-it";3;2;1;5;10
trobz;3;"-";1;9;19
"vauxoo-dev";3;5;3;13;24
GSLabIt;2;2;1;16;11
"Jarsa-dev";2;2;2;2;13
QubiQ;2;1;2;1;12
