Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;116;135;10;521;603
ForgeFlow;70;118;10;228;244
akretion;59;39;12;191;385
ursais;57;57;13;139;375
camptocamp;32;37;6;142;170
acsone;31;38;9;114;192
"ecosoft-odoo";28;36;6;86;226
initOS;21;14;4;71;237
"sygel-technology";15;11;3;29;120
commitsun;14;16;5;18;52
VanMoof;13;14;3;45;77
TheMule71;12;16;1;37;60
Escodoo;9;14;1;18;66
eLBati;9;10;1;24;45
legalsylvain;8;5;1;20;39
tegin;8;7;3;28;69
kmee;7;10;2;45;85
dzungtran89;6;"-";1;3;40
factorlibre;6;4;2;25;37
solvosci;6;2;2;11;38
Studio73;5;4;4;24;43
patrickrwilson;5;1;1;6;25
NL66278;4;1;1;6;18
"adhoc-dev";4;2;2;16;28
"odoo-it";4;4;1;1;8
sebalix;4;8;1;5;26
tafaRU;4;2;1;13;14
PESOL;3;2;1;6;18
StefanRijnhart;3;1;1;3;11
andreampiovesana;3;2;1;3;10
