Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;415;458;11;"1.508";"2.160"
akretion;159;252;13;667;"1.069"
ForgeFlow;96;127;9;392;462
camptocamp;78;87;8;331;430
acsone;74;124;12;241;452
"ecosoft-odoo";69;92;11;306;595
Escodoo;52;80;1;218;410
tegin;35;29;3;88;216
StefanRijnhart;33;16;1;61;45
eLBati;32;33;1;107;168
kmee;29;55;5;180;305
ursais;29;102;10;110;211
efatto;20;29;1;65;137
sunflowerit;20;27;1;79;141
VanMoof;17;26;1;56;112
blooparksystems;17;20;3;50;17
initOS;17;40;5;127;218
simahawk;14;13;1;86;108
onesteinbv;12;5;1;54;105
TDu;11;22;1;143;111
nilshamerlinck;11;6;1;29;36
"vauxoo-dev";11;14;5;45;43
guewen;10;8;1;34;44
solvosci;10;11;2;43;84
"terrabit-ro";10;13;1;3;17
SimoRubi;8;14;1;38;53
Studio73;8;40;5;52;81
Yasaie;8;"-";1;14;17
coopiteasy;7;7;4;8;42
GSLabIt;6;8;1;78;71
