Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.198";"1.303";12;"4.579";"6.260"
ForgeFlow;568;731;17;"1.931";"2.648"
akretion;536;656;16;"1.904";"3.737"
camptocamp;356;421;15;"1.400";"1.976"
acsone;270;425;16;813;"1.668"
"ecosoft-odoo";242;332;13;886;"1.988"
ursais;215;420;19;595;"1.550"
tegin;164;202;4;617;"1.042"
Escodoo;114;160;1;406;916
initOS;111;137;7;491;"1.410"
kmee;80;143;6;431;873
legalsylvain;77;81;1;255;533
eLBati;76;106;1;281;487
VanMoof;71;88;5;316;482
commitsun;61;75;5;68;247
Studio73;58;99;8;235;454
StefanRijnhart;53;41;1;193;184
"sygel-technology";48;59;3;221;456
TheMule71;47;59;1;323;431
"vauxoo-dev";46;59;14;149;257
efatto;44;69;1;141;281
SimoRubi;40;53;1;217;303
dzungtran89;35;44;1;154;294
tafaRU;34;41;1;97;190
"NextERP-Romania";32;46;4;34;128
hailangvn;32;60;1;117;213
simahawk;31;31;1;133;206
solvosci;31;30;3;125;225
onesteinbv;29;8;1;88;224
TDu;27;24;1;171;214
