User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,4,4,344,282,307
dreispt,12,11,222,45,74
victoralmau,47,46,57,83,143
simahawk,23,17,96,78,110
mileo,30,18,112,35,69
rvalyi,36,27,85,41,83
etobella,23,23,65,50,86
kittiu,29,16,78,28,58
rousseldenis,2,4,84,58,73
marcelsavegnago,11,5,41,84,99
StefanRijnhart,11,6,51,70,86
chienandalu,16,18,22,72,99
eLBati,15,11,60,33,56
renatonlima,12,9,31,51,69
MiquelRForgeFlow,19,21,21,42,72
joao-p-marques,17,14,15,50,72
patrickrwilson,15,1,45,29,41
dsolanki-initos,3,6,70,10,26
fshah-initos,4,5,65,13,28
legalsylvain,6,17,35,27,52
HaraldPanten,-,-,38,45,51
AaronHForgeFlow,6,4,34,33,45
CarlosRoca13,17,15,30,13,38
tafaRU,4,4,37,23,35
albariera,11,4,9,39,49
sbidoul,23,10,19,6,25
yajo,4,6,28,24,37
hbrunn,9,7,22,16,31
sergiocorato,4,6,16,28,40
ivantodorovich,11,6,17,19,32
JordiMForgeFlow,9,8,17,15,30
LoisRForgeFlow,6,6,18,16,29
SimoRubi,6,5,9,21,31
TheMule71,1,3,22,14,23
alexis-via,9,4,15,7,18
hparfr,-,4,15,18,26
moylop260,1,1,24,11,18
bodedra,4,2,15,13,21
JordiBForgeFlow,5,4,18,7,17
gabrielcardoso21,3,3,2,20,26
TDu,7,7,2,14,25
MeetKD,-,-,3,27,29
dalonsod,3,4,18,4,14
newtratip,3,3,8,15,23
jcbr87,7,1,12,1,8
ao-landoo,4,2,14,5,13
guewen,2,1,9,13,18
petrus-v,5,2,10,8,15
sebalix,3,6,1,15,24
lmignon,3,2,5,14,20
phuctranfxvn,1,6,5,10,19
manuelregidor,7,6,7,2,13
NL66278,4,-,6,11,15
PieterPaulussen,7,2,3,6,12
florian-dacosta,4,2,7,8,15
hailangvn,8,1,4,9,15
kos94ok-3D,1,-,11,10,14
ValentinVinagre,1,1,4,15,19
fredzamoabg,8,2,4,7,14
jcoux,1,5,2,13,20
Saran440,1,7,9,3,14
