Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,872,966,12,3.494,4.667
akretion,416,525,15,1.504,2.913
ForgeFlow,374,490,13,1.346,1.692
camptocamp,240,298,14,1.002,1.344
acsone,200,327,16,623,1.205
ecosoft-odoo,190,260,13,681,1.534
ursais,167,345,18,493,1.245
tegin,99,112,4,338,622
Escodoo,95,139,1,350,800
initOS,82,120,7,441,1.090
kmee,80,141,6,423,851
eLBati,64,83,1,233,392
VanMoof,59,75,3,242,363
legalsylvain,56,62,1,225,402
StefanRijnhart,48,38,1,157,138
sygel-technology,42,49,3,179,382
commitsun,40,53,5,52,167
efatto,36,56,1,108,216
Studio73,32,76,7,162,292
SimoRubi,28,43,1,153,197
solvosci,24,24,3,107,187
TheMule71,23,46,1,166,255
onesteinbv,23,8,1,75,187
sunflowerit,23,37,1,104,173
TDu,22,24,1,158,181
simahawk,22,20,1,95,139
vauxoo-dev,22,30,10,101,127
NextERP-Romania,19,34,3,32,85
adhoc-dev,17,31,5,80,158
blooparksystems,17,20,3,50,18
