User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,3,3,293,176,198
rvalyi,32,29,107,45,90
simahawk,21,22,88,75,111
chienandalu,21,20,25,52,82
etobella,16,10,41,49,69
dsolanki-initos,7,-,82,21,33
kittiu,28,12,52,16,41
StefanRijnhart,7,5,52,41,56
renatonlima,6,3,42,41,53
LoisRForgeFlow,10,10,31,40,59
MiquelRForgeFlow,14,16,25,35,60
rousseldenis,4,4,34,47,59
dreispt,11,5,52,16,32
sbejaoui,13,8,36,25,43
legalsylvain,15,8,40,19,37
marcelsavegnago,5,1,29,44,53
HaraldPanten,1,1,42,27,35
fshah-initos,7,5,50,9,24
joao-p-marques,11,13,16,26,46
patrickrwilson,5,3,33,18,29
AaronHForgeFlow,2,3,12,40,48
eLBati,8,6,32,11,25
ValentinVinagre,5,5,21,26,38
hkapatel-initos,9,3,37,8,20
ivantodorovich,5,2,19,30,39
sbidoul,11,6,31,8,23
alexis-via,14,10,21,5,23
TDu,8,2,7,32,39
victoralmau,15,11,8,14,32
DarioLodeiros,4,4,23,18,29
TheMule71,10,3,31,5,17
yajo,5,6,9,26,37
mmequignon,9,7,6,24,36
sergiocorato,4,2,15,22,30
sebalix,4,2,4,33,39
ao-landoo,5,5,28,4,17
JordiBForgeFlow,6,5,17,10,22
SimoRubi,8,2,11,17,25
sergio-teruel,8,5,6,14,24
mileo,3,2,20,10,18
olgamarcocb,12,6,2,14,25
RodrigoBM,4,-,9,19,24
Saran440,2,2,15,12,19
hparfr,1,1,13,14,20
CarlosRoca13,7,7,8,7,19
KKamaa,9,-,3,12,17
SimoneVagile,3,2,12,10,17
PCatinean,1,3,11,11,18
jcoux,4,2,-,20,24
newtratip,3,3,7,13,20
JordiMForgeFlow,4,4,5,12,20
alexey-pelykh,-,2,1,22,25
guewen,3,1,13,7,13
manuelregidor,11,6,6,1,13
florian-dacosta,4,4,3,12,20
RaulOForgeFlow,-,22,-,-,22
jbaudoux,3,3,8,8,16
leemannd,1,-,6,14,17
sebastienbeau,-,-,9,13,16
bodedra,3,2,10,6,13
carlosdauden,2,3,5,11,18
gabrielcardoso21,9,3,5,-,8
hbrunn,-,2,9,10,15
NL66278,2,1,11,6,12
AmmarOfficewalaSerpentCS,4,2,9,3,10
lmignon,-,-,5,14,16
dalonsod,-,-,13,5,9
flotho,3,1,12,-,6
miguelpadin,3,4,4,7,15
tafaRU,1,-,8,9,13
thomaspaulb,3,2,3,10,15
ygcarvalh,-,2,12,4,9
hailangvn,1,1,6,9,13
hildickethan,6,3,2,5,12
Freni-OSI,11,1,1,1,6
andreampiovesana,1,1,3,11,15
fdegrave,3,-,8,5,10
yvaucher,-,-,9,7,10
atchuthan,3,-,3,9,12
moylop260,-,-,12,3,6
DavidBForgeFlow,4,7,-,2,11
albariera,2,2,3,6,11
astirpe,3,2,6,2,8
mbcosta,2,3,6,3,10
PierrickBrun,-,4,5,3,9
davejames,5,3,2,3,10
fredzamoabg,3,-,2,8,11
gdgellatly,2,-,7,4,8
smangukiya,-,-,6,7,9
Chanakya-OSI,9,1,-,-,4
eantones,6,6,-,-,8
gurneyalex,-,2,2,8,11
tbaden,-,-,1,11,12
AdriaGForgeFlow,1,1,1,8,11
Vimal-OSI,8,1,-,1,5
dzungtran89,-,1,4,5,8
hitrosol,3,1,5,-,5
kevinkhao,3,2,3,3,8
len-foss,4,2,5,-,6
nicomacr,2,3,5,-,7
osi-scampbell,-,-,1,10,11
Bilbonet,-,-,6,4,6
Du-ma,2,1,3,4,8
Kev-Roche,3,-,5,1,5
MateuGForgeFlow,4,1,2,3,7
MeetKD,6,-,1,3,6
SilvioGregorini,6,2,2,-,6
kos94ok-3D,2,3,2,3,9
maisim,1,-,2,7,9
matteoopenf,1,-,7,1,5
rauferdeveloper,2,1,5,2,7
Borruso,4,1,2,2,6
CasVissers-360ERP,1,-,5,3,6
GSLabIt,-,-,7,2,5
angelmoya,2,-,2,5,8
jjscarafia,1,-,6,1,4
luismalta,3,2,2,1,6
rconjour,1,-,-,8,9
redapureskill,2,2,4,-,5
yostashiro,-,-,5,4,6
Tardo,2,2,1,3,7
bealdav,1,-,1,6,8
braisab,5,2,-,-,4
brian10048,-,-,5,3,5
enriquemartin,2,1,2,3,7
grindtildeath,1,1,3,3,7
yankinmax,2,1,2,3,7
AntonioMariaVigliotti,1,-,5,-,3
GenisPForgeFlow,1,1,-,5,7
Peerapong-Supasompob,2,-,5,-,4
TomohiroAbe-Quartile,2,1,1,2,5
damdam-s,2,-,1,4,6
jeroen-vet,5,-,2,-,4
AreebSiddiqiIR,-,2,1,-,3
RLeeOSI,2,-,3,-,3
bizzappdev,1,-,1,4,6
ljsalvatierra-binovo,2,1,2,1,5
llacroix,1,-,3,2,5
maitripatel19,-,-,-,6,6
miguel-S73,3,-,3,-,3
pledrateam,1,5,-,-,6
quentinDupont,-,-,-,6,6
rafaelbn,-,-,3,3,5
robinkeunen,-,1,5,-,3
rpsjr,2,1,3,-,4
saralb9,4,2,-,-,4
vimalpatelserpentcs,-,-,1,5,6
ygol,-,-,5,1,3
ypapouin,2,-,1,3,5
Daniel-CA,1,1,1,2,5
Reyes4711-S73,1,1,2,-,3
SplashS,-,-,4,1,3
antoniospneto,1,1,3,-,4
bmessiaz,-,-,4,1,3
colmeirin,-,-,1,4,5
gaikaz,-,-,3,2,4
hpatelserpentcs,2,-,3,-,3
i-vyshnevska,-,1,-,4,5
manuelcalerosolis,2,-,-,3,4
mrcast,-,-,-,5,5
petrus-v,1,1,1,2,5
ps-tubtim,1,-,-,4,5
rven,1,-,3,1,4
stevech091,-,-,5,-,2
vvrossem,-,-,1,4,5
xAdrianC-Kernet,-,-,2,3,4
Murtaza-OSI,3,1,-,-,3
PieterPaulussen,-,-,1,3,4
Rad0van,2,1,1,-,3
ReedHayashikawa,2,-,2,-,3
StephaneMangin,-,1,1,2,4
alan196,-,-,2,2,3
aleuffre,3,-,1,-,3
angelJuaGar,1,1,2,-,3
azmimr67,2,-,-,-,1
baimont,4,-,-,-,2
britoederr,1,-,-,3,4
danypr92,1,-,2,1,3
feketemihai,1,-,1,1,3
houssine78,-,-,3,1,3
jarmokortetjarvi,2,2,-,-,3
jgrandguillaume,-,-,1,3,4
khushbu-3,4,-,-,-,2
marcelofrare,-,-,-,4,4
mourad-ehm,-,-,-,4,4
ntsirintanis,-,-,-,4,4
skeller1,1,-,1,2,4
theangryangel,-,-,1,3,4
vanderleiromera,-,-,4,-,2
yweng8111,1,-,2,1,3
BT-aestebanez,-,1,2,-,2
HviorForgeFlow,1,-,-,2,3
JayVora-SerpentCS,-,-,-,3,3
MarcoCalcagni,-,-,-,3,3
Mohsen1213,1,-,1,-,2
Stephanisk,-,-,3,-,2
chandni299,-,-,1,2,3
dani-xtendoo,2,-,-,1,2
dcorio,-,-,2,-,1
fgarcia-humanoide,-,-,3,-,2
gjotten,-,-,2,1,2
hugho-ad,1,1,1,-,3
jcadhoc,2,1,-,-,2
jco-subteno-it,1,-,2,-,2
luc-demeyer,1,-,2,-,2
mlaitinen,-,-,3,-,2
murtuzasaleh,2,1,-,-,2
oihane,-,-,1,2,3
omar7r,-,-,3,-,2
patbengr,-,-,2,-,1
phuctranfxvn,-,2,1,-,3
primes2h,-,-,-,3,3
qpeyramale,-,-,3,-,2
rp-landoo,-,-,-,3,3
sama62,-,-,2,1,2
stananatanaela,2,-,1,-,2
xavier-bouquiaux,3,-,-,-,2
Abranes,-,-,-,2,2
Alishehata3010,1,-,-,-,1
BT-fgarbely,-,-,2,-,1
Chandresh-OSI,-,-,2,-,1
DonatasV,1,-,-,1,2
Hardik-OSI,1,1,-,-,2
Joaco1980,-,1,-,1,2
Laurent-Corron,2,-,-,-,1
SoniaViciana,-,-,2,-,1
Zar21,2,-,-,-,1
acsonefho,1,-,1,-,2
aisopuro,-,-,-,2,2
alessandrocamilli,-,-,-,2,2
amincheloh,1,-,1,-,2
asm8073,-,-,2,-,1
azucenatrey,1,1,-,-,2
bodi000,1,-,1,-,2
bosd,-,-,1,1,2
cbssolutions,-,1,1,-,2
chafique-delli,-,1,-,1,2
clementmbr,-,-,-,2,2
dependabot[bot],1,1,-,-,2
emagdalenaC2i,-,-,-,2,2
emavarela,-,-,1,-,1
estekadigital,1,-,-,1,2
ferran-S73,1,-,-,1,2
gfcapalbo,1,-,1,-,2
jado95,1,-,-,1,2
jcbr87,-,-,2,-,1
kakurai8,-,-,-,2,2
kenayagi,-,-,-,2,2
llabusch93,1,-,1,-,2
luiseevaquer,-,-,1,1,2
mathben,-,-,1,-,1
mylbco,-,-,2,-,1
nosinga,1,1,-,-,2
