Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,814,899,11,3.233,4.235
akretion,373,456,15,1.355,2.450
ForgeFlow,356,451,12,1.223,1.533
camptocamp,200,246,13,866,1.076
acsone,182,300,16,572,1.093
ecosoft-odoo,174,217,13,607,1.342
ursais,151,309,18,425,1.076
tegin,97,109,4,329,589
Escodoo,85,128,1,316,704
kmee,79,139,6,417,834
initOS,71,111,7,389,961
eLBati,62,79,1,229,368
VanMoof,51,68,3,227,323
StefanRijnhart,45,35,1,145,129
legalsylvain,43,51,1,195,293
sygel-technology,40,44,3,171,345
commitsun,35,48,5,47,145
efatto,35,54,1,102,205
Studio73,26,71,7,134,222
TheMule71,23,44,1,154,244
sunflowerit,23,35,1,103,168
SimoRubi,22,38,1,134,148
solvosci,22,22,3,96,166
TDu,21,24,1,158,171
onesteinbv,21,8,1,73,177
NextERP-Romania,19,32,3,32,80
vauxoo-dev,19,25,9,88,103
simahawk,18,18,1,87,117
blooparksystems,17,20,3,50,18
adhoc-dev,16,30,4,71,141
