Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;628;690;11;"2.466";"3.289"
akretion;257;351;15;989;"1.698"
ForgeFlow;224;286;10;841;"1.078"
camptocamp;133;162;12;565;736
acsone;130;222;15;387;750
"ecosoft-odoo";130;148;13;464;"1.001"
ursais;79;193;13;224;555
Escodoo;75;109;1;296;620
tegin;71;72;3;235;424
kmee;65;114;6;328;666
eLBati;47;61;1;190;271
initOS;42;74;7;237;538
StefanRijnhart;40;29;1;128;98
VanMoof;33;49;2;157;206
efatto;33;48;1;91;195
legalsylvain;27;31;1;138;184
sunflowerit;21;30;1;98;153
TDu;20;24;1;158;157
"NextERP-Romania";18;27;3;30;67
SimoRubi;18;28;1;104;111
onesteinbv;18;8;1;65;156
Studio73;17;54;7;93;154
blooparksystems;17;20;3;50;18
simahawk;16;17;1;86;108
solvosci;16;20;2;80;125
"terrabit-ro";15;14;1;8;22
"vauxoo-dev";15;18;7;54;64
QubiQ;14;15;5;49;98
"sygel-technology";13;16;3;63;142
fredzamoabg;12;29;1;70;96
