Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;111;110;9;463;574
akretion;59;73;12;197;340
ForgeFlow;48;65;9;158;228
"ecosoft-odoo";35;33;10;70;222
camptocamp;29;40;7;102;153
tegin;29;34;3;109;160
acsone;26;37;11;60;148
ursais;25;41;7;52;189
kmee;23;34;6;82;200
legalsylvain;17;6;1;31;101
initOS;14;13;4;51;140
eLBati;11;15;1;60;76
"sygel-technology";7;8;2;42;74
Studio73;6;9;5;25;49
VanMoof;6;10;2;51;45
efatto;6;4;1;6;26
Escodoo;5;11;1;5;44
SimoRubi;5;6;1;41;24
hbrunn;4;3;1;6;22
jcoux;4;1;1;4;16
tafaRU;4;4;1;10;19
"Jarsa-dev";3;1;2;4;12
"NextERP-Romania";3;5;1;8;15
QubiQ;3;"-";3;2;9
StefanRijnhart;3;8;1;42;26
TheMule71;3;1;1;21;52
commitsun;3;10;3;3;12
"damdam-s";3;2;1;21;23
mymage;3;"-";1;"-";10
phuctranfxvn;3;1;1;9;14
