User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;89;86;"4.200";"2.661";"2.821"
simahawk;169;163;"1.128";991;"1.201"
victoralmau;420;378;352;623;"1.040"
dreispt;111;79;"1.175";319;443
rvalyi;164;131;909;464;638
marcelsavegnago;160;115;650;692;845
kittiu;175;104;666;317;460
chienandalu;169;153;242;710;892
MiquelRForgeFlow;222;186;325;508;727
StefanRijnhart;94;101;522;470;604
etobella;121;100;478;439;572
rousseldenis;75;40;522;452;524
"joao-p-marques";129;126;253;540;693
LoisRForgeFlow;104;99;433;374;504
sebalix;112;101;256;495;623
renatonlima;103;96;343;363;488
legalsylvain;81;77;332;343;447
sbidoul;118;103;368;164;297
"dsolanki-initos";40;30;518;140;199
mileo;88;50;416;175;255
eLBati;106;76;347;213;318
yajo;98;95;251;299;420
ivantodorovich;68;58;205;303;384
CarlosRoca13;126;128;195;186;339
TDu;74;66;113;344;429
AaronHForgeFlow;56;39;230;272;334
HaraldPanten;5;5;272;303;327
"alexis-via";114;101;254;84;212
"sergio-teruel";119;98;175;163;285
tafaRU;41;34;270;199;256
"fshah-initos";43;35;310;113;172
lmignon;47;35;198;225;281
TheMule71;60;47;203;175;244
sergiocorato;69;44;175;161;227
hparfr;54;35;157;191;246
SimoRubi;53;40;124;229;287
guewen;39;46;178;169;235
"hkapatel-initos";40;33;305;51;108
JordiBForgeFlow;70;45;178;91;158
hbrunn;44;34;149;128;181
Saran440;51;40;145;98;157
patrickrwilson;32;14;174;122;155
sebastienbeau;36;29;168;101;149
NL66278;22;14;146;154;185
newtratip;47;38;118;116;172
carlosdauden;37;32;55;203;248
mmequignon;43;26;51;203;243
ernestotejeda;58;56;75;118;190
bodedra;23;19;101;158;192
HviorForgeFlow;30;19;134;112;148
thomaspaulb;40;25;88;119;160
Tardo;64;50;51;91;156
hailangvn;60;33;106;52;103
"CasVissers-360ERP";8;4;70;149;164
astirpe;22;41;82;80;135
gurneyalex;20;20;64;119;151
dalonsod;26;27;118;54;97
yvaucher;3;9;125;87;109
gabrielcardoso21;48;26;39;90;129
albariera;45;29;40;100;142
JordiMForgeFlow;35;31;58;91;136
antoniospneto;29;24;71;79;117
GSLabIt;21;17;79;83;113
"ao-landoo";33;25;114;23;64
dzungtran89;56;43;54;36;94
moylop260;18;21;98;55;90
mbcosta;41;39;51;58;111
"ps-tubtim";29;11;30;105;127
DarioLodeiros;18;16;89;57;87
fredzamoabg;44;21;35;75;109
"Freni-OSI";68;28;47;5;48
jbaudoux;16;14;41;99;123
sbejaoui;31;25;60;52;90
"alexey-pelykh";12;12;76;70;94
ValentinVinagre;17;14;66;70;96
"kos94ok-3D";11;10;79;64;86
SimoneVagile;26;15;43;75;102
"i-vyshnevska";16;10;28;99;118
phuctranfxvn;34;38;35;39;89
PierrickBrun;27;31;39;48;90
"ajaniszewska-dev";18;7;6;110;124
bealdav;15;9;46;71;91
atchuthan;15;8;43;79;97
AmmarOfficewalaSerpentCS;38;20;68;9;43
matteoopenf;13;5;71;45;62
kevinkhao;26;17;50;39;68
RodrigoBM;21;12;59;40;64
leemannd;19;10;47;51;72
"luc-demeyer";22;17;59;34;63
"florian-dacosta";22;21;34;55;87
"petrus-v";25;10;43;52;74
feketemihai;25;21;51;21;54
jcoux;17;12;34;60;82
manuelregidor;39;31;38;15;58
smangukiya;2;1;62;59;69
brian10048;14;8;66;33;53
"len-foss";34;24;29;34;69
bosd;4;4;68;42;56
flotho;10;6;64;32;49
grindtildeath;8;10;30;64;82
AdriaGForgeFlow;19;13;12;69;90
hildickethan;25;17;37;32;60
RaulOForgeFlow;40;28;4;37;73
nilshamerlinck;25;22;49;11;45
primes2h;8;3;51;48;61
"Kev-Roche";26;12;39;23;46
MateuGForgeFlow;41;32;9;21;62
Borruso;22;12;23;44;65
carlosserratoro;17;13;21;50;72
OpenCode;13;8;42;37;55
olgamarcocb;36;21;4;36;65
jcdrubay;8;5;30;56;69
Rad0van;12;14;51;20;45
felipemotter;3;1;28;64;72
nicomacr;22;18;40;12;41
ioans73;13;9;33;35;53
ygcarvalh;10;6;54;21;38
acsonefho;34;20;8;17;46
DavidBForgeFlow;30;27;6;23;58
angelmoya;14;8;26;34;51
max3903;19;8;44;14;33
"remi-filament";10;6;38;28;43
AntoniRomera;11;4;50;19;33
alan196;28;9;15;27;45
jcbr87;10;4;57;2;17
sonhd91;22;10;13;29;47
jgrandguillaume;"-";"-";33;45;51
yostashiro;6;3;21;47;57
yankinmax;24;9;19;21;39
"Chandresh-OSI";30;16;17;5;31
cubells;18;10;20;22;41
fernandahf;14;6;30;20;35
ThomasBinsfeld;16;11;17;27;46
andreampiovesana;8;5;12;49;60
santostelmo;20;11;19;21;41
"damdam-s";13;4;19;35;47
"Cedric-Pigeon";14;9;12;31;47
enriquemartin;12;4;26;26;39
ypapouin;19;10;14;26;44
gdgellatly;3;"-";33;31;38
manuelcalerosolis;20;6;20;18;33
rconjour;11;7;18;32;47
PieterPaulussen;15;6;14;24;38
luismalta;15;11;16;24;43
mariadforgeflow;19;17;2;26;49
JoanMForgeFlow;22;14;6;18;39
SplashS;9;5;40;11;25
chusamo;12;5;17;26;39
"marcos-mendez";5;"-";40;15;24
BernatPForgeFlow;20;15;11;14;37
"Chanakya-OSI";33;8;10;1;18
"xavier-bouquiaux";37;6;9;6;21
SilvioC2C;15;8;10;27;42
jjscarafia;6;3;33;17;28
mrcast;"-";"-";4;56;58
dhongu;18;17;6;16;40
alessandrocamilli;10;5;12;23;35
jado95;10;7;15;23;37
bizzappdev;10;1;32;11;21
"ljsalvatierra-binovo";7;3;22;16;26
"schhatbar-initos";10;9;31;4;22
"Reyes4711-S73";11;5;19;15;28
KKamaa;17;2;7;19;28
MarcoCalcagni;1;"-";11;39;43
"Murtaza-OSI";36;6;3;2;16
"Vimal-OSI";23;10;11;3;21
fdegrave;11;9;21;10;27
SilvioGregorini;16;11;10;11;29
baimont;26;7;9;6;21
braisab;24;21;3;"-";28
omar7r;13;6;21;7;21
houssine78;3;2;27;16;25
"mourad-ehm";14;6;7;19;31
scigghia;4;"-";19;23;29
gaikaz;5;4;21;17;28
clementmbr;8;5;18;16;28
MeetKD;6;2;7;31;38
"osi-scampbell";3;3;6;30;37
"tv-openbig";"-";"-";43;3;10
Zar21;19;10;10;4;22
kv1612;15;12;9;7;26
ghost;10;1;23;"-";9
luisg123v;4;3;11;24;32
miguelpadin;13;8;9;12;27
mymage;7;6;19;12;25
"miguel-S73";15;9;11;7;23
"saeed-raeisi";3;2;23;13;22
