Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;101;115;10;314;499
ForgeFlow;80;103;12;258;378
camptocamp;45;37;7;103;225
akretion;33;36;10;116;235
tegin;26;28;3;81;168
acsone;21;29;8;66;173
ursais;21;33;6;30;110
"ecosoft-odoo";20;20;4;70;187
legalsylvain;13;10;1;22;88
hailangvn;12;22;1;30;86
Studio73;11;6;5;22;52
antoniospneto;10;11;1;34;81
commitsun;8;6;5;1;27
SimoRubi;5;5;1;19;45
VanMoof;5;2;4;14;35
"adhoc-dev";5;3;2;7;25
eLBati;5;7;1;25;38
"vauxoo-dev";5;7;3;12;63
yankinmax;5;13;1;54;61
"NextERP-Romania";4;"-";1;"-";3
fredzamoabg;4;4;1;17;42
Comunitea;3;4;1;9;29
Escodoo;3;6;1;11;26
Rad0van;3;1;1;5;28
StefanRijnhart;3;"-";1;13;13
TheMule71;3;4;1;64;49
em230418;3;3;1;3;13
gurneyalex;3;4;1;4;12
jguenat;3;1;1;2;14
"landoo-es";3;4;1;4;21
