Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;102;122;10;495;555
ForgeFlow;80;94;9;291;388
akretion;39;26;11;125;289
acsone;30;61;8;86;150
camptocamp;26;35;7;132;153
"ecosoft-odoo";26;23;9;88;184
ursais;25;50;7;62;155
Escodoo;18;18;1;73;166
kmee;13;25;4;66;161
"NextERP-Romania";11;9;3;9;14
initOS;11;21;4;59;180
VanMoof;10;13;1;50;49
TDu;7;1;1;13;37
efatto;7;15;1;20;32
tegin;7;9;2;38;48
fredzamoabg;6;6;1;40;40
QubiQ;5;"-";2;2;19
SimoRubi;5;8;1;25;34
legalsylvain;5;11;1;33;34
"odoo-it";5;5;1;22;40
tafaRU;5;6;1;10;42
"terrabit-ro";5;1;1;5;5
StefanRijnhart;4;5;1;25;27
eLBati;4;13;1;23;27
gurneyalex;4;8;1;29;35
onesteinbv;4;3;1;9;37
ozono;4;3;1;13;22
trobz;4;"-";1;6;38
Studio73;3;5;3;16;24
phuctranfxvn;3;"-";1;13;16
