Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.097";"1.188";12;"4.265";"5.761"
akretion;503;620;16;"1.788";"3.502"
ForgeFlow;488;628;16;"1.673";"2.270"
camptocamp;311;384;15;"1.297";"1.751"
acsone;249;396;16;747;"1.495"
"ecosoft-odoo";222;312;13;816;"1.801"
ursais;194;387;19;565;"1.440"
tegin;138;174;4;536;874
Escodoo;111;154;1;395;890
initOS;109;136;7;491;"1.369"
kmee;80;142;6;429;869
eLBati;71;99;1;256;449
VanMoof;66;86;5;302;447
legalsylvain;64;71;1;233;445
commitsun;53;69;5;67;220
StefanRijnhart;50;41;1;180;171
Studio73;47;93;8;213;402
"sygel-technology";46;56;3;209;443
TheMule71;44;55;1;259;382
efatto;42;65;1;133;270
"vauxoo-dev";41;52;12;137;194
SimoRubi;35;48;1;198;258
dzungtran89;33;38;1;148;281
solvosci;31;30;3;125;224
tafaRU;31;35;1;89;174
"NextERP-Romania";28;46;4;34;125
simahawk;28;31;1;126;190
TDu;27;24;1;171;214
onesteinbv;27;8;1;84;217
sunflowerit;24;41;1;113;192
