Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;252;315;10;978;"1.295"
akretion;97;167;12;407;694
camptocamp;53;57;5;218;304
ForgeFlow;52;67;8;171;256
acsone;42;80;8;172;295
"ecosoft-odoo";40;75;8;206;350
StefanRijnhart;32;14;1;54;44
Escodoo;31;36;1;155;257
tegin;22;17;3;58;137
eLBati;18;24;1;67;90
blooparksystems;17;20;3;49;17
ursais;16;81;7;80;109
sunflowerit;15;20;1;67;113
efatto;13;17;1;47;83
nilshamerlinck;11;6;1;29;36
"vauxoo-dev";11;13;5;45;36
VanMoof;10;16;1;25;81
TDu;9;15;1;110;85
guewen;9;8;1;33;37
simahawk;9;9;1;64;65
Yasaie;8;"-";1;14;17
solvosci;8;8;1;29;61
initOS;6;20;4;37;52
"odoo-brazil";6;11;2;30;71
onesteinbv;6;3;1;39;63
SimoRubi;5;7;1;13;31
TimLai125;5;6;1;19;35
decgroupe;5;7;1;18;29
leemannd;5;10;1;14;45
sebalix;5;"-";1;4;24
