User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;48;45;"2.280";"1.513";"1.613"
marcelsavegnago;114;77;491;556;666
simahawk;96;91;525;469;593
victoralmau;224;199;213;346;575
rvalyi;87;72;478;296;399
StefanRijnhart;77;79;406;356;464
dreispt;55;37;542;174;242
chienandalu;90;84;151;418;524
"joao-p-marques";100;99;178;336;458
MiquelRForgeFlow;109;108;206;284;417
mileo;85;46;394;159;234
kittiu;101;57;323;145;230
renatonlima;77;70;228;246;340
rousseldenis;35;20;299;266;309
etobella;70;58;260;229;311
eLBati;69;53;243;160;237
LoisRForgeFlow;59;54;203;180;256
"dsolanki-initos";35;16;318;93;133
CarlosRoca13;97;95;154;106;223
legalsylvain;46;35;155;204;258
"fshah-initos";34;21;258;81;124
sergiocorato;52;35;138;132;186
guewen;37;42;142;146;206
sbidoul;66;44;177;67;132
HaraldPanten;4;4;157;194;213
"sergio-teruel";77;62;109;101;182
yajo;41;39;117;157;213
sebalix;39;37;57;210;261
TDu;45;31;57;172;217
hparfr;44;20;98;135;172
"alexis-via";66;53;114;49;121
lmignon;33;20;94;144;179
AaronHForgeFlow;19;13;111;134;162
ivantodorovich;27;19;105;129;163
JordiBForgeFlow;44;32;115;59;108
tafaRU;15;12;132;97;124
newtratip;28;26;82;81;121
bodedra;18;14;76;102;129
HviorForgeFlow;10;8;101;90;111
SimoRubi;36;20;55;90;123
carlosdauden;23;18;37;116;145
gabrielcardoso21;38;21;36;87;120
hbrunn;21;13;81;77;104
"CasVissers-360ERP";5;4;51;132;145
NL66278;12;6;73;91;109
thomaspaulb;31;23;59;69;105
TheMule71;29;11;85;53;79
Saran440;17;18;71;52;83
Tardo;42;34;34;53;99
patrickrwilson;23;5;84;48;67
yvaucher;3;6;96;59;77
dalonsod;21;17;84;29;60
ernestotejeda;27;26;25;62;98
sebastienbeau;18;15;61;39;66
"kos94ok-3D";7;7;61;58;75
JordiMForgeFlow;23;21;35;54;86
phuctranfxvn;34;19;35;39;70
gurneyalex;12;11;25;80;99
astirpe;13;21;51;40;72
bosd;4;4;68;42;56
mmequignon;24;9;13;69;87
sbejaoui;22;14;44;33;58
GSLabIt;8;6;42;56;71
"i-vyshnevska";11;8;25;62;78
jbaudoux;7;7;22;68;82
"len-foss";30;20;26;31;62
mbcosta;26;25;22;34;69
brian10048;10;8;57;31;50
jcoux;14;9;29;51;69
carlosserratoro;17;13;21;50;72
ValentinVinagre;8;8;36;52;69
"ao-landoo";16;8;63;13;33
atchuthan;7;4;30;63;75
fredzamoabg;32;12;20;36;58
SimoneVagile;20;8;25;44;61
albariera;20;11;13;54;73
"petrus-v";18;6;27;47;62
"florian-dacosta";18;14;21;43;66
"alexey-pelykh";5;4;41;47;60
"Freni-OSI";60;8;3;2;19
bealdav;7;7;25;55;70
moylop260;2;4;55;33;46
feketemihai;13;9;40;20;39
primes2h;6;2;42;37;48
PierrickBrun;18;17;28;22;49
leemannd;12;6;34;26;41
AmmarOfficewalaSerpentCS;25;8;40;7;26
"hkapatel-initos";15;4;44;15;30
kevinkhao;16;9;29;21;39
"luc-demeyer";13;11;27;24;44
RodrigoBM;14;5;34;22;37
ygcarvalh;8;6;46;12;28
jcdrubay;7;3;24;37;48
"ps-tubtim";4;2;13;47;55
DavidBForgeFlow;26;22;3;14;43
Borruso;18;7;18;22;37
DarioLodeiros;5;4;31;26;38
PieterPaulussen;15;4;14;24;36
RaulOForgeFlow;30;23;4;7;37
luismalta;15;11;16;23;42
rconjour;11;6;18;30;44
ThomasBinsfeld;15;8;14;23;39
dzungtran89;39;3;9;7;19
chusamo;9;5;17;25;37
jgrandguillaume;"-";"-";26;34;39
matteoopenf;7;3;27;18;29
Rad0van;10;7;31;8;24
grindtildeath;6;8;15;21;35
dhongu;17;15;6;15;37
ioans73;9;3;19;20;30
OpenCode;6;5;26;15;28
andreampiovesana;5;2;10;36;43
cubells;11;7;17;16;30
manuelregidor;22;14;13;3;25
"Chandresh-OSI";21;12;12;4;24
"Kev-Roche";17;3;19;9;20
"damdam-s";9;3;14;26;36
"schhatbar-initos";10;6;31;4;19
MateuGForgeFlow;17;11;7;14;32
nicomacr;15;9;19;5;22
"ajaniszewska-dev";6;4;4;34;42
fernandahf;7;6;15;19;32
ypapouin;17;7;8;15;29
SilvioGregorini;15;9;10;10;26
hildickethan;13;6;12;14;27
SplashS;5;3;29;8;19
manuelcalerosolis;14;3;14;14;24
