Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;986;"1.085";12;"3.911";"5.242"
akretion;443;555;15;"1.603";"3.130"
ForgeFlow;420;550;13;"1.504";"1.957"
camptocamp;272;338;14;"1.142";"1.517"
acsone;214;348;16;662;"1.294"
"ecosoft-odoo";210;291;13;775;"1.682"
ursais;187;375;19;540;"1.391"
tegin;113;139;4;434;713
Escodoo;105;149;1;377;848
initOS;99;131;7;459;"1.250"
kmee;80;142;6;428;860
eLBati;67;89;1;244;417
VanMoof;62;81;4;262;406
legalsylvain;60;66;1;229;422
StefanRijnhart;50;39;1;166;156
commitsun;48;61;5;58;200
"sygel-technology";45;52;3;198;419
efatto;42;63;1;123;261
Studio73;37;84;8;180;339
"vauxoo-dev";35;43;11;121;151
SimoRubi;32;47;1;182;228
TheMule71;30;49;1;217;297
solvosci;30;28;3;119;215
dzungtran89;27;37;1;133;247
TDu;25;24;1;170;199
onesteinbv;25;8;1;80;209
simahawk;24;25;1;107;152
sunflowerit;24;39;1;109;185
tafaRU;23;24;1;55;130
"adhoc-dev";20;33;6;87;179
