Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;111;103;10;354;519
ForgeFlow;68;78;14;169;313
akretion;60;65;10;185;372
camptocamp;39;46;7;155;234
acsone;35;48;9;85;201
tegin;25;35;3;102;161
TheMule71;14;6;1;42;85
"ecosoft-odoo";12;21;3;41;119
Studio73;10;9;6;33;63
initOS;10;5;4;32;119
"NextERP-Romania";9;12;2;1;34
hailangvn;8;7;1;28;43
tafaRU;8;11;1;34;44
ursais;7;12;5;25;49
Escodoo;6;5;1;18;42
dzungtran89;6;1;1;15;34
fdegrave;6;"-";1;6;24
sonhd91;6;7;1;35;41
"vauxoo-dev";6;9;3;16;43
GSLabIt;5;4;1;17;25
commitsun;5;8;3;9;20
hiepnh97;5;1;1;13;22
VanMoof;4;5;3;40;41
antoniospneto;4;7;1;15;26
eLBati;4;10;1;12;32
legalsylvain;4;5;1;4;23
nguyenhk99;4;4;1;14;27
phuctranfxvn;4;"-";1;6;24
simahawk;4;6;1;19;38
Engenere;3;3;1;13;20
