Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;"1.282";"1.373";12;"4.750";"6.570"
ForgeFlow;642;864;21;"2.240";"3.113"
akretion;572;717;16;"2.001";"3.991"
camptocamp;381;473;15;"1.540";"2.136"
acsone;294;458;16;879;"1.897"
"ecosoft-odoo";256;353;13;929;"2.113"
ursais;227;437;21;635;"1.633"
tegin;189;233;4;695;"1.149"
Escodoo;118;177;1;438;963
initOS;111;139;7;501;"1.439"
legalsylvain;89;95;1;281;595
kmee;81;144;6;432;896
eLBati;80;108;1;303;509
VanMoof;73;90;5;325;492
commitsun;72;90;5;71;281
"sygel-technology";68;83;3;293;680
Studio73;63;100;9;246;478
StefanRijnhart;55;47;1;208;199
TheMule71;50;61;1;339;467
"vauxoo-dev";48;63;14;153;271
efatto;45;70;1;144;285
SimoRubi;44;59;1;229;326
hailangvn;43;69;1;152;286
tafaRU;36;45;1;104;222
dzungtran89;35;44;1;155;296
"landoo-es";35;46;1;97;363
"NextERP-Romania";34;49;4;36;136
solvosci;34;34;3;135;249
simahawk;33;32;1;134;210
onesteinbv;30;8;1;88;227
