Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,84,70,10,171,310
ForgeFlow,74,133,15,309,465
akretion,36,61,9,97,254
camptocamp,25,52,8,140,160
tegin,25,31,3,78,107
acsone,24,33,11,66,229
sygel-technology,20,24,3,72,224
ecosoft-odoo,14,21,3,43,125
legalsylvain,12,14,1,26,62
ursais,12,17,5,40,83
commitsun,11,15,4,3,34
hailangvn,11,9,1,35,73
landoo-es,11,14,1,10,63
yankinmax,10,14,1,48,81
gurneyalex,9,12,1,21,38
Studio73,5,1,3,11,24
brian10048,5,3,1,11,30
sonhd91,5,16,1,44,29
Escodoo,4,17,1,32,47
Jarsa-dev,4,4,2,10,27
SimoRubi,4,6,1,12,23
eLBati,4,2,1,22,22
luc-demeyer,4,3,1,-,22
nguyenhk99,4,5,1,13,22
AntoniRomera,3,4,1,15,28
TheMule71,3,2,1,16,36
antoniospneto,3,4,1,15,46
florentx,3,2,1,6,13
fredzamoabg,3,1,1,6,17
mymage,3,-,1,4,13
