Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;160;202;10;554;754
akretion;45;64;7;195;288
ForgeFlow;44;49;7;148;200
acsone;24;54;7;123;168
camptocamp;24;30;5;112;150
"ecosoft-odoo";19;47;6;109;152
blooparksystems;17;16;3;49;17
Escodoo;16;19;1;74;129
eLBati;14;20;1;35;66
tegin;14;14;3;38;89
TDu;7;8;1;56;55
Yasaie;7;"-";1;11;6
ursais;7;44;4;46;69
StefanRijnhart;6;6;1;15;21
VanMoof;6;12;1;21;50
efatto;6;7;1;25;39
"odoo-brazil";6;10;2;28;66
simahawk;6;7;1;58;46
leemannd;5;4;1;8;37
solvosci;5;5;1;18;42
guewen;4;5;1;12;14
GSLabIt;3;4;1;28;29
SimoRubi;3;5;1;8;17
SimoneVagile;3;5;1;8;9
TheMule71;3;2;1;6;20
coopdevs;3;4;1;5;16
decgroupe;3;6;1;14;14
factorlibre;3;5;1;4;30
mmarcot;3;5;1;10;21
"Digital5-Odoo";2;3;1;1;18
