Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;163;143;11;530;865
akretion;62;85;12;260;375
ForgeFlow;44;60;7;221;206
acsone;32;44;10;69;157
"ecosoft-odoo";29;17;11;100;245
kmee;26;46;5;158;275
camptocamp;25;30;7;113;126
Escodoo;21;44;1;63;153
eLBati;14;9;1;40;78
tegin;13;12;2;30;79
ursais;13;21;7;30;102
initOS;11;20;3;90;166
VanMoof;7;10;1;31;31
efatto;7;12;1;18;54
"terrabit-ro";7;9;1;1;15
onesteinbv;6;2;1;15;42
coopiteasy;5;3;3;5;32
elego;5;6;2;19;35
simahawk;5;4;1;22;43
sunflowerit;5;7;1;12;28
Studio73;4;20;4;31;51
grindtildeath;4;4;1;10;29
"NextERP-Romania";3;10;1;5;13
OpenCode;3;4;1;11;24
QubiQ;3;10;3;35;50
SilvioGregorini;3;5;1;16;16
SimoRubi;3;7;1;25;22
brian10048;3;4;1;7;15
fredzamoabg;3;7;1;11;18
tafaRU;3;4;1;3;9
